part_id,module,role,bbox_mm,volume_mm3,candidate_mass_kg,material_candidate,process_candidate,service_state,step_path,step_bytes,step_sha256,svg_path,svg_bytes,svg_sha256,dxf_path,dxf_bytes,dxf_sha256,largest_planar_profile_area_mm2,largest_planar_profile_wire_count,stl_path,stl_bytes,stl_sha256,release_state,warning
T01_TORSO_RAIL_R,T01,primary frame rail,18.000 x 18.000 x 145.986 mm,14036.863383,0.037899531,6061-T6/T651 1.5 MM WALL HOLLOW EXTRUSION CANDIDATE,"cut/drill fixture; local inserts, buckling, joint-load and exact section proof required",FIXED FRAME,parts/T01/T01_TORSO_RAIL_R/T01_TORSO_RAIL_R.step,203115,13ab0e202ee763345e5387185477c462f39735996b018571190196887a23282b,parts/T01/T01_TORSO_RAIL_R/T01_TORSO_RAIL_R.svg,28309,c5ccb14a36497a1d9f4cd1e78432bdd45e57db48e697f422e3cc4687a9f9eb74,,,,,,,,,INDIVIDUAL P0.1 CANDIDATE FILE - DRAWING/GD&T/MATERIAL/PROCESS/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_L,T01,primary frame rail,18.000 x 18.000 x 145.986 mm,14036.863383,0.037899531,6061-T6/T651 1.5 MM WALL HOLLOW EXTRUSION CANDIDATE,"cut/drill fixture; local inserts, buckling, joint-load and exact section proof required",FIXED FRAME,parts/T01/T01_TORSO_RAIL_L/T01_TORSO_RAIL_L.step,202897,fb8273019c2878920f752c196aedbdfbd09642882515e2b7036aad91631bf76c,parts/T01/T01_TORSO_RAIL_L/T01_TORSO_RAIL_L.svg,29184,b7f533e0168df37160f89a0e7aee98c0e30a1b78151fc1dbb444ce4e6f66e06a,,,,,,,,,INDIVIDUAL P0.1 CANDIDATE FILE - DRAWING/GD&T/MATERIAL/PROCESS/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_SHOULDER_CROSS_TUBE,T01,shoulder load bridge,174.000 x 28.000 x 24.000 mm,34745.353073,0.093812453,6061-T6/T651 2.0 MM WALL MACHINED OR EXTRUDED CANDIDATE,"3-axis machining/extrusion finish; local shoulder inserts, buckling and bilateral joint-load proof required",FIXED FRAME,parts/T01/T01_SHOULDER_CROSS_TUBE/T01_SHOULDER_CROSS_TUBE.step,121957,05516ed6b1e4f15e5af24ac3ea44feffa534c9dc2e5036282888e3159b586b7a,parts/T01/T01_SHOULDER_CROSS_TUBE/T01_SHOULDER_CROSS_TUBE.svg,24966,19bbb1e5b548c3873153e30816ee6aaf4e3b4da3529f168c4ef38772b81c3b6e,,,,,,,,,INDIVIDUAL P0.1 CANDIDATE FILE - DRAWING/GD&T/MATERIAL/PROCESS/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_PELVIS_PLATE_FRONT,P01,pelvis frame plate,136.000 x 5.000 x 62.000 mm,23179.462147,0.062584548,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate; MTR/tolerance/fixture review required,FIXED FRAME,parts/P01/P01_PELVIS_PLATE_FRONT/P01_PELVIS_PLATE_FRONT.step,144053,e3d1dd25ad3edd097f3bd2fe39d491b22ccd765f3a6d98daea77e46dd340f8b4,parts/P01/P01_PELVIS_PLATE_FRONT/P01_PELVIS_PLATE_FRONT.svg,36398,111e07c7b84dfb9c46ac45fdc5c7df730e1254e08e27ea30c91582ac9e81c49b,parts/P01/P01_PELVIS_PLATE_FRONT/P01_PELVIS_PLATE_FRONT_largest-face-profile.dxf,20393,908ecf8cef468dd99e4e64de81e2855ae29019ed670e81aacc519d2f42290e4a,4062.385606,2,,,,INDIVIDUAL P0.1 CANDIDATE FILE - DRAWING/GD&T/MATERIAL/PROCESS/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_PELVIS_PLATE_REAR,P01,pelvis frame plate,136.000 x 5.000 x 62.000 mm,23179.462147,0.062584548,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate; MTR/tolerance/fixture review required,FIXED FRAME,parts/P01/P01_PELVIS_PLATE_REAR/P01_PELVIS_PLATE_REAR.step,143843,d9cd23d4a1ba7d7e265b7b8e5947693718afbb3210fdcf3cdc50ad3c34e1ad95,parts/P01/P01_PELVIS_PLATE_REAR/P01_PELVIS_PLATE_REAR.svg,36292,aea24254a0ecf3ee92b3fe0316bf0053ae0a07bfca4f4d216d1d438f2da8b86f,parts/P01/P01_PELVIS_PLATE_REAR/P01_PELVIS_PLATE_REAR_largest-face-profile.dxf,20393,e0b48abf3a5c3174c12178dba3e46ba75f4da0c09000c282a3be21d076ba2ce5,4062.385606,2,,,,INDIVIDUAL P0.1 CANDIDATE FILE - DRAWING/GD&T/MATERIAL/PROCESS/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_WAIST_BRIDGE,P01,waist load bridge,112.000 x 62.000 x 6.000 mm,26281.892719,0.070961110,6061-T651 6 MM WINDOWED PLATE CANDIDATE,2.5D CNC candidate; local boss thickness and waist load proof required,FIXED FRAME,parts/P01/P01_WAIST_BRIDGE/P01_WAIST_BRIDGE.step,138387,b98b8069470d11df21ec7ed1a56a5cb0e61097aa6a388d03efef10f343a7acb7,parts/P01/P01_WAIST_BRIDGE/P01_WAIST_BRIDGE.svg,40109,40e84e2358294c674bb7c2bcf653fadf21b71ab1db60875de92ca76ec49600e2,parts/P01/P01_WAIST_BRIDGE/P01_WAIST_BRIDGE_largest-face-profile.dxf,20704,2ea5f7404d767908fe50a59aeba4347c982ae8892d2d7cc9c8b1a1342ec53fbb,3747.343889,2,,,,INDIVIDUAL P0.1 CANDIDATE FILE - DRAWING/GD&T/MATERIAL/PROCESS/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01_NECK_TUBE,N01,neck frame tube,38.000 x 38.000 x 58.000 mm,26820.160952,0.072414435,6061-T6/T651 TUBE OR MACHINED CANDIDATE,tube/machined candidate; buckling and joint proof required,FIXED FRAME,parts/N01/N01_NECK_TUBE/N01_NECK_TUBE.step,137398,1e9116c0e5063d59060532afa063cd90bd1361ab549799ad8241d470823ffc9f,parts/N01/N01_NECK_TUBE/N01_NECK_TUBE.svg,38587,5191a00b966df307d01cbcc1341f8a5b4ada6523d91fd7e6630cf279fd2e6483,,,,,,,,,INDIVIDUAL P0.1 CANDIDATE FILE - DRAWING/GD&T/MATERIAL/PROCESS/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01_RESTRAINT_BRIDGE,P01,fall-restraint load-path candidate,84.000 x 14.000 x 12.000 mm,13745.014642,0.037111540,6061-T651 PLATE CANDIDATE,CNC candidate; no restraint rating or load credit,FIXED FRAME - NO FALL LOAD CREDIT,parts/P01/P01_RESTRAINT_BRIDGE/P01_RESTRAINT_BRIDGE.step,60469,a0a63d84b6b42049f183c5e9ae6a1a2de2ba4ac3c74fa67f9c4c255c7c606876,parts/P01/P01_RESTRAINT_BRIDGE/P01_RESTRAINT_BRIDGE.svg,22728,c9a574da8009f5eb294434901eeb3a02289d20199e5d638e8687e2970342c08c,,,,,,,,,INDIVIDUAL P0.1 CANDIDATE FILE - DRAWING/GD&T/MATERIAL/PROCESS/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_SIDE_FRONT,L01,shin side plate,50.000 x 2.500 x 136.000 mm,9825.531119,0.026528934,6061-T651 2.5 MM WINDOWED PLATE CANDIDATE,"2.5D CNC/waterjet candidate; gait/fall stress, edge finish, stiffness and flatness open",FIXED FRAME,parts/L01/L01_SHIN_SIDE_FRONT/L01_SHIN_SIDE_FRONT.step,157375,720001b6b7aa13c1aaf01a42d92199ba4fceaedc5dd9793671db29c0ac718801,parts/L01/L01_SHIN_SIDE_FRONT/L01_SHIN_SIDE_FRONT.svg,24824,8b6f2caf8512b97889b5f824dca521c6c1610c14af87ff9fa644629314d6de86,parts/L01/L01_SHIN_SIDE_FRONT/L01_SHIN_SIDE_FRONT_largest-face-profile.dxf,20659,06785ffb74871d8ecaf4d28b6a9331f78a83f3a46cd46a6c094e622f4a97f692,3615.059177,2,,,,INDIVIDUAL P0.1 CANDIDATE FILE - DRAWING/GD&T/MATERIAL/PROCESS/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_SIDE_FRONT,L01,thigh side plate,56.000 x 2.500 x 142.000 mm,11214.175184,0.030278273,6061-T651 2.5 MM WINDOWED PLATE CANDIDATE,"2.5D CNC/waterjet candidate; gait/fall stress, edge finish, stiffness and flatness open",FIXED FRAME,parts/L01/L01_THIGH_SIDE_FRONT/L01_THIGH_SIDE_FRONT.step,157449,65e18418ee93d78c9a818ba1760917628b10e9bfb2c044ae3cb0fe81cde50a88,parts/L01/L01_THIGH_SIDE_FRONT/L01_THIGH_SIDE_FRONT.svg,24846,4a9f52b92667eb6903b244d974256a7498926d244dcddc2fbb093a84d9cd8c6c,parts/L01/L01_THIGH_SIDE_FRONT/L01_THIGH_SIDE_FRONT_largest-face-profile.dxf,20735,61328ad706296855f7725bbfda6473e7cc5bfddba96dbf7954d0e2eeb2e87dd2,4149.883000,2,,,,INDIVIDUAL P0.1 CANDIDATE FILE - DRAWING/GD&T/MATERIAL/PROCESS/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_SIDE_REAR,L01,shin side plate,50.000 x 2.500 x 136.000 mm,9825.531119,0.026528934,6061-T651 2.5 MM WINDOWED PLATE CANDIDATE,"2.5D CNC/waterjet candidate; gait/fall stress, edge finish, stiffness and flatness open",FIXED FRAME,parts/L01/L01_SHIN_SIDE_REAR/L01_SHIN_SIDE_REAR.step,157167,0d1f5539e9ed3249e17068d7c6a190fa068b1898f4bbfb09cb798053d5b4cccd,parts/L01/L01_SHIN_SIDE_REAR/L01_SHIN_SIDE_REAR.svg,24562,5976a0d720e2b09f21fce6bd0b1a8323f6a40a2de7de7cc3a530614c5ac6d9d4,parts/L01/L01_SHIN_SIDE_REAR/L01_SHIN_SIDE_REAR_largest-face-profile.dxf,20659,5cb70539e248fbb7b056fb920d68ed07a10177fa3d51dc0f68b7b4af549fbd99,3615.059177,2,,,,INDIVIDUAL P0.1 CANDIDATE FILE - DRAWING/GD&T/MATERIAL/PROCESS/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
