candidate,manufacturer_source_url,document_revision_or_date,accessed_date,verified_or_provisional,selection_state,warning
Raspberry Pi 5 8GB SC1112 candidate,https://datasheets.raspberrypi.com/rpi5/raspberry-pi-5-mechanical-drawing.pdf,Raspberry Pi 5 mechanical drawing; portal updated 2025-10-06,2026-08-14,85 x 56 mm official reference drawing; 50 g installed mass allowance is not manufacturer-published,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
Raspberry Pi Active Cooler SC1148 candidate,https://www.raspberrypi.com/products/active-cooler/,live official product page; accessed 2026-08-14,2026-08-14,envelope and installed mass remain incoming-inspection items,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
STM32H743-class custom carrier candidate; exact board SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,planning envelope/mass only; no released schematic or safety credit,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
Raspberry Pi Pico-class non-safety-rated diagnostic watchdog candidate,https://www.raspberrypi.com/products/raspberry-pi-pico/,live official product page; accessed 2026-08-14,2026-08-14,diagnostic only; cannot be credited as a safety function,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
ROBOTIS U2D2 902-0132-000; left leg candidate,https://www.robotis.us/u2d2/,live official product page; accessed 2026-08-14,2026-08-14,48 x 18 x 14.6 mm and 9 g verified from current manufacturer page,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
ROBOTIS U2D2 902-0132-000; right leg candidate,https://www.robotis.us/u2d2/,live official product page; accessed 2026-08-14,2026-08-14,48 x 18 x 14.6 mm and 9 g verified from current manufacturer page,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
ROBOTIS U2D2 902-0132-000; left arm/head candidate,https://www.robotis.us/u2d2/,live official product page; accessed 2026-08-14,2026-08-14,48 x 18 x 14.6 mm and 9 g verified from current manufacturer page,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
ROBOTIS U2D2 902-0132-000; right arm candidate,https://www.robotis.us/u2d2/,live official product page; accessed 2026-08-14,2026-08-14,48 x 18 x 14.6 mm and 9 g verified from current manufacturer page,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
ROBOTIS U2D2 902-0132-000; service/commissioning candidate,https://www.robotis.us/u2d2/,live official product page; accessed 2026-08-14,2026-08-14,48 x 18 x 14.6 mm and 9 g verified from current manufacturer page,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
keyed touch-safe 14.8 V-class inlet/disconnect assembly; SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,planning envelope/mass only,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
two-channel DC-rated interruption module; contactor/solid-state selection required,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,no safety function or DC duty is validated,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
custom fused PDU/precharge/regeneration clamp carrier; schematic and values open,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,architecture envelope only; no fuse or rating released,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
isolated 14.8 V to 5.1 V compute/HMI converter candidate; exact model required,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,planning envelope/mass/loss only,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
industrial 6/9-axis IMU module candidate; exact model required,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,datum envelope and mass allowance only,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
through-bolted dual-lug restraint anchor candidate,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,visible metal candidate; no fall-load credit,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
"Waveshare 4inch HDMI LCD (H), SKU 16340, rotated landscape candidate",https://www.waveshare.com/4inch-HDMI-LCD-H.htm,live manufacturer product page; accessed 2026-08-14,2026-08-14,manufacturer lists 4-inch 480x800 display and 0.123 kg; final 3D drawing/incoming fit required,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
Raspberry Pi Camera Module 3 Wide candidate,https://www.raspberrypi.com/products/camera-module-3/,live official product page; accessed 2026-08-14,2026-08-14,25 x 24 x 12.4 mm Wide envelope verified; 12 g installed allowance is not published mass,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
four-microphone linear USB/I2S array; exact board SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,planning envelope/mass only,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
40 mm 3 W full-range speaker candidate,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,planning envelope/mass only,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
stereo class-D I2S amplifier carrier candidate,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,planning envelope/mass only,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
30 mm tachometer fan candidate,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,planning envelope/mass only,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
replaceable 4 mm TPU/rubber sole candidate,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,planning geometry/mass only,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
miniature load-cell/force-sensor puck candidate,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,planning envelope/mass only,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
replaceable compliant urethane/silicone pad candidate,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,planning geometry/mass only,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,170.0 mm route-derived planning length; conductor/connector selection remains open,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,170.0 mm route-derived planning length; conductor/connector selection remains open,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2026-08-14,mass distribution envelope only; not literal merged fastener geometry,CANDIDATE / SELECTION REQUIRED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
