hold_id,item,closure_evidence,state,authority,warning
H-01,instrument availability and exact serial/configuration,"borrow/rental confirmations, exact scope options and all received serials",OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
H-02,calibration status,in-date certificates and pre-use checks for every measurement chain,OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
H-03,physical test points and protected probes,"released terminal/pin map, fused leads, connectors and strain relief",OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
H-04,current and branch abort limits,"dummy-load data, fault current, branch protection coordination, inrush and duty cycle",OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
H-05,temperature abort limits,"received component/connector ratings, probe location/error, ambient and qualified thresholds",OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
H-06,interruption/stopping timing limits,"safety requirements specification, allocated response limits and validated timing model",OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
H-07,digital isolation interface,"24 V-to-TTL interface selection, schematic, fault analysis and validation",OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
H-08,scope voltage probe,"isolated/differential probe exact order code, range, common-mode and calibration",OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
H-09,thermocouple probe system,"probe type/order code, electrical insulation, attachment, uncertainty and routing",OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
H-10,time correlation uncertainty,implemented slate interface and measured DAQ/scope/video/thermal offsets,OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
H-11,data acquisition software,"frozen DAQmx/FlexLogger or equivalent version, configuration, raw format and alarm behavior",OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
H-12,qualified test procedure and signoff,"test-lead, electrical and functional-safety review of limits/procedure",OPEN - SELECTION/EXECUTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
