hold_id,hold,state,closure_evidence,release_effect,warning
R268-H01,Licensed/current ASME Y14.5 access available to the qualified reviewer,OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R268-H02,Qualified reviewer accepts or revises each A/B scheme and modifier,OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R268-H03,Functional fit/tolerance stack establishes acceptable zones for every mating pattern,OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R268-H04,"All exact FCF symbols, datum-feature symbols and basic dimensions are placed on successor drawings",OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R268-H05,C06/C07 rail surface/contact profile scheme is accepted,OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R268-H06,"Countersink axis, head-seat and received-fastener acceptance are defined",OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R268-H07,"Inspection simulators, restraint, probing, temperature and alignment are validated",OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R268-H08,Measurement uncertainty and conformity decision rules are accepted,OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R268-H09,Provider DFM and metrology capability response is accepted,OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R268-H10,Five first articles and raw inspection records are accepted,OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R268-H11,Received mating-part dry fits are accepted,OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R268-H12,Configuration-bound qualified release and separate fabrication authority are signed,OPEN,NOT EXECUTED,BLOCKS DRAWING/FABRICATION RELEASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
