acceptance_id,subject,execution_state,result,evidence_uri,approver,approval_date,warning
PIOI-ACC-001,source hash and interface parity,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-002,nominal panel boundary/no-overlap,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-003,received backplate/enclosure fit,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-004,received R202/R204 geometry,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-005,mounting hardware and hole process,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-006,case/cooler/stack fit,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-007,WD2 fill and separation,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-008,compute harness measured route and cut schedule,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-009,field harness measured route and cut schedule,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-010,termination-process qualification,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-011,continuity/polarity/isolation,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-012,power sequencing and back-power,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-013,thermal and EMC,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-014,fault injection and HIL,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-015,qualified review,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PIOI-ACC-016,separate written work authorization,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
