stop_id,condition,mandatory_action,state,warning
STOP-01,"any listing, seller, fulfiller, model or manufacturer number differs",STOP; do not purchase/use; record deviation and obtain written disposition,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-02,quantity two is not allocatable for any required line,STOP; do not purchase/use; record deviation and obtain written disposition,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-03,"a cart or quote contains substitution, backorder or unknown revision",STOP; do not purchase/use; record deviation and obtain written disposition,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-04,"shipping, tax, marketplace charges, fees or expiration are absent",STOP; do not purchase/use; record deviation and obtain written disposition,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-05,maximum spend is blank or exceeded,STOP; do not purchase/use; record deviation and obtain written disposition,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-06,"ship-to, purchaser, payment authority, receiver or quarantine location is absent",STOP; do not purchase/use; record deviation and obtain written disposition,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-07,"candidate commit, package hash or line identity differs",STOP; do not purchase/use; record deviation and obtain written disposition,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-08,"scope would include assembly, cable connection, power, motion or use",STOP; do not purchase/use; record deviation and obtain written disposition,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-09,any required signature or acceptance is absent,STOP; do not purchase/use; record deviation and obtain written disposition,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STOP-10,"a received article is damaged, opened, mislabeled, wrong-protocol or inconsistent",STOP; do not purchase/use; record deviation and obtain written disposition,ACTIVE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
