question_id,topic,required_evidence,state,owner,warning
Q-001,PNOZ selector,"Confirm lower-row third selector position: short-detection plus monitored falling-edge; set unpowered, seal and inspect.",SELECTION REQUIRED,QUALIFIED REVIEWER / PROJECT AUTHORITY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-002,PNOZ input behavior,Confirm external ordinary series contacts are acceptable on S12/S22 with the proposed two-stage architecture.,SELECTION REQUIRED,QUALIFIED REVIEWER / PROJECT AUTHORITY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-003,PNOZ fault recovery,"Define response/recovery for short, cross-short, bounce and asynchronous S12/S22 interruption.",SELECTION REQUIRED,QUALIFIED REVIEWER / PROJECT AUTHORITY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-004,KWD contact reliability,"Establish received minimum-load behavior, contamination class, endurance and inspection/replacement interval at actual input load.",SELECTION REQUIRED,QUALIFIED REVIEWER / PROJECT AUTHORITY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-005,KWD timing,Obtain guaranteed or measured pickup/release/bounce distributions; typical catalog values are insufficient.,SELECTION REQUIRED,QUALIFIED REVIEWER / PROJECT AUTHORITY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-006,Common cause,"Analyze shared MCU, clock, supply, PCB, driver, connector, harness and environmental dependencies.",SELECTION REQUIRED,QUALIFIED REVIEWER / PROJECT AUTHORITY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-007,Physical routing,Release separated/protected channel routes and terminal allocations; document short/cross-short assumptions.,SELECTION REQUIRED,QUALIFIED REVIEWER / PROJECT AUTHORITY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-008,Functional-safety allocation,Qualified reviewer to assign PLr/SIL/Category and validate MTTFd/DC/CCF or IEC 62061 evidence.,SELECTION REQUIRED,QUALIFIED REVIEWER / PROJECT AUTHORITY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-009,Physical response,"Measure SRA1, K1/K2, actuator rail, torque and stopping response under authorized fault injection.",SELECTION REQUIRED,QUALIFIED REVIEWER / PROJECT AUTHORITY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-010,Configuration,Independently review and formally promote or reject P1.20; P1.15 remains current.,SELECTION REQUIRED,QUALIFIED REVIEWER / PROJECT AUTHORITY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
