clock_id,quantity,requirement_basis,candidate_or_required_limit,accepted_limit,closure_evidence,status,warning
CLK-001,runtime cycle period,CTRL-004,<= 10 ms,SELECTION REQUIRED,target scheduler trace,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CLK-002,monotonic clock implementation,logging source contract,nondecreasing integer milliseconds,SELECTION REQUIRED,target clock identity and API record,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CLK-003,monotonic clock resolution,TEST-LOG-001,SELECTION REQUIRED,SELECTION REQUIRED,calibrated timestamp analyzer comparison,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CLK-004,monotonic drift over test duration,TEST-LOG-001,SELECTION REQUIRED,SELECTION REQUIRED,traceable reference comparison,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CLK-005,cycle timestamp jitter,TEST-LOG-001,SELECTION REQUIRED,SELECTION REQUIRED,target distribution and worst-case trace,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CLK-006,UTC source and synchronization method,Sol M-022,SELECTION REQUIRED,SELECTION REQUIRED,target configuration and network-isolation disposition,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CLK-007,UTC offset uncertainty,Sol M-022,SELECTION REQUIRED,SELECTION REQUIRED,calibrated UTC comparison,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CLK-008,cross-instrument synchronization,fault reconstruction,SELECTION REQUIRED,SELECTION REQUIRED,shared event injection and measured offsets,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CLK-009,logging write latency,runtime deadline protection,SELECTION REQUIRED,SELECTION REQUIRED,worst-case storage/load measurement,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CLK-010,timestamp wrap/regression behavior,fail-closed runtime,no regression accepted,source-enforced; target evidence required,fault injection and long-run test,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
