input_id,subject,candidate_value,state,warning
DXL-MFG-IN-001,native board identity,DXL-STAR-P0.1,SOURCE BOUND,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-002,board outline,100.0000 mm x 60.0000 mm,SOURCE BOUND,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-003,native thickness setting,1.6000 mm,REVIEW INPUT - SUPPLIER TOLERANCE REQUIRED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-004,minimum routed track width,0.2500 mm,SOURCE BOUND - CAPABILITY ACCEPTANCE REQUIRED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-005,minimum routed clearance,20.8528 mm,SOURCE BOUND - CAPABILITY ACCEPTANCE REQUIRED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-006,minimum drill diameter,0.9500 mm,SOURCE BOUND - CAPABILITY ACCEPTANCE REQUIRED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-007,layer count,2 copper layers,SOURCE BOUND,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-008,base material and Tg,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-009,copper foil and finished copper,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-010,surface finish,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-011,solder mask system and color,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-012,legend system and color,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-013,finished holes and plating tolerances,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-014,outline/profile tolerance,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-015,"panelization, rails, tooling and fiducials",SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-016,bare-board electrical test and coupon,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-017,controlled impedance disposition,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-MFG-IN-018,fabricator and assembler,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
