invariant_id,stage_scope,invariant,verification_method,acceptance_requirement,physical_result,validation_state,authority,warning
ZMI-01,E0-E3,actuator source physically absent or load side de-energized,physical isolation and voltage measurement,zero actuator-rail voltage within selected instrument tolerance,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ZMI-02,E2-E3,motor connectors physically absent,connector census and photographs,all 25 actuator power inputs disconnected,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ZMI-03,E2-E7,all 25 torque-enable states initialize inactive,target/HIL readback,25/25 inactive before and after reset,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ZMI-04,E2-E7,all eight actuator TX paths initialize inactive,oscilloscope/logic-analyzer measurement,8/8 no transmit activity until separately authorized,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ZMI-05,E2-E7,precharge request initializes inactive,GPIO measurement,"inactive through boot, reset and brownout",NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ZMI-06,E2-E7,action-ready initializes inactive,GPIO/state measurement,inactive until all configuration gates pass,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ZMI-07,E2-E7,OpenAI/conversational process has no direct actuator-bus path,interface and network rule audit,only structured high-level requests reach deterministic controller,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ZMI-08,E3-E7,manual safety reset cannot create a motion request,state-transition/fault-injection test,eligibility may change; torque/TX/motion remain inactive,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ZMI-09,E3-E7,E-stop release cannot create a motion request,state-transition/fault-injection test,no automatic restart,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ZMI-10,E3-E7,permit restoration still requires a fresh bounded motion command,state-machine/HIL test,stale or queued commands rejected,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ZMI-11,E2-E7,reset/brownout cannot pulse outputs active,oscilloscope capture over all supply/reset sequences,no active pulse within measured bandwidth,NOT EXECUTED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
