item_id,subject,value,state,closure_evidence,gate,warning
KAP3-A-001,device identity,LC1D25BD / 24 VDC coil,SOURCE CONTROLLED CANDIDATE,received label and order documentation,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-A-002,main-pole topology,three poles in series per device; two devices in series,SOURCE CONNECTED,point-to-point inspection of accepted configuration,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-A-003,coil/opening component data,5.4 W at 20 C; 16..24 ms opening,CATALOG SCREEN ONLY,received timing and coil-current traces,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-A-004,mirror-contact identity,integral 21-22 NC catalog mirror contact,CATALOG SCREEN ONLY,received contact-state and welded-main-contact validation,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-A-005,normal and peak forward current,SELECTION REQUIRED,NOT MEASURED,configuration-bound bidirectional current traces,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-A-006,current and voltage at opening,SELECTION REQUIRED,NOT MEASURED,synchronized voltage/current/contact traces,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-A-007,regenerative/reverse current,SELECTION REQUIRED,NOT MEASURED,worst-case deceleration and source-response traces,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-A-008,bus capacitance and equivalent time constant,SELECTION REQUIRED,NOT MEASURED,accepted measurement/derivation for exact bus,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-A-009,prospective fault current and protection,SELECTION REQUIRED,OPEN,source current-limit evidence plus selected protection coordination,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-A-010,DC utilization/application classification,SELECTION REQUIRED,MANUFACTURER DISPOSITION REQUIRED,written Schneider response tied to the completed load envelope,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-A-011,critical-current durability,SELECTION REQUIRED,MANUFACTURER DISPOSITION REQUIRED,written response plus required life/cycles and loaded endurance,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-A-012,total stopping performance,200 ms / 2.000 deg is only the unvalidated J2-positive setup candidate,NOT VALIDATED,qualified allocation and executed loaded stop evidence,EG-013 PARTIAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
