part,zone_group,zone_edge_ordinal,occ_traversal_index_diagnostic_only,geometric_edge_signature_sha256,geometry_type,semantic_class,closed_loop_ordinal,loop_successor_geometric_signature_sha256,shared_endpoint_with_successor_mm_json,length_mm,bbox_mm_json,center_mm_json,endpoints_mm_json,owner_face_wire_adjacency_json,identity_rule,warning
C06,C06-RR-PROFILE,1,11,93a5150039d5c888059a185d3b84512b970fcdfe82b85eb746ccf2b990b1997e,CIRCLE,PROFILE_ROOT,N/A,N/A,N/A,4.188790205,"[35.0,9.525,18.535898385,37.0,9.525,22.0]","[36.307973373,9.525,20.090140683]","[[35.0,9.525,18.535898385],[37.0,9.525,22.0]]","[{""edge_ordinal_in_wire"":5,""occ_orientation"":1,""owner_face_geometric_signature_sha256"":""bb0675c276656e67d30c6a5f7f506ea310f18ce57afc672bb1dee1c316e95cc4"",""wire_ordinal"":1},{""edge_ordinal_in_wire"":9,""occ_orientation"":0,""owner_face_geometric_signature_sha256"":""c4c16932f6f7c8743d962f2af0ceba7b6b5e0969255dacae9ece82aef12a23b5"",""wire_ordinal"":1}]",geometric edge signature + owner-face/wire/ordinal/orientation adjacency + STEP SHA; OCC traversal index receives no identity credit,"PRELIMINARY - NUMERICAL METHOD PROTOTYPE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C06,C06-RR-STEP,1,104,42280d2e922b240b7be014e48be879897f3af6cff9bc5d9137bd3db682ec9c01,CIRCLE,THICKNESS_STEP_BLEND,N/A,N/A,N/A,3.141592654,"[33.0,9.525,18.0,33.0,11.525,20.0]","[33.0,10.251760455,19.273239545]","[[33.0,9.525,18.0],[33.0,11.525,20.0]]","[{""edge_ordinal_in_wire"":3,""occ_orientation"":0,""owner_face_geometric_signature_sha256"":""bb0675c276656e67d30c6a5f7f506ea310f18ce57afc672bb1dee1c316e95cc4"",""wire_ordinal"":1},{""edge_ordinal_in_wire"":5,""occ_orientation"":1,""owner_face_geometric_signature_sha256"":""665575f7053860d789766d643feb5de581ab4d4dd910ff5175095323cfe97589"",""wire_ordinal"":1}]",geometric edge signature + owner-face/wire/ordinal/orientation adjacency + STEP SHA; OCC traversal index receives no identity credit,"PRELIMINARY - NUMERICAL METHOD PROTOTYPE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C06,C06-RR-STEP,2,118,728255167a38afd4cb8cc712f21a04d59c0d827a08f3da18a4f31f1708514526,CIRCLE,THICKNESS_STEP_BLEND,N/A,N/A,N/A,3.141592654,"[35.0,9.525,22.0,37.0,11.525,22.0]","[35.726760455,10.251760455,22.0]","[[35.0,11.525,22.0],[37.0,9.525,22.0]]","[{""edge_ordinal_in_wire"":1,""occ_orientation"":1,""owner_face_geometric_signature_sha256"":""bb0675c276656e67d30c6a5f7f506ea310f18ce57afc672bb1dee1c316e95cc4"",""wire_ordinal"":1},{""edge_ordinal_in_wire"":2,""occ_orientation"":0,""owner_face_geometric_signature_sha256"":""a50ac3bb0a52f83b753ce5d91418e5b198bdd42275a5b9c4af1e5e26327e4f7c"",""wire_ordinal"":1}]",geometric edge signature + owner-face/wire/ordinal/orientation adjacency + STEP SHA; OCC traversal index receives no identity credit,"PRELIMINARY - NUMERICAL METHOD PROTOTYPE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C06,C06-RR-STEP,3,120,0e4452efaf1454b86475f0d27417c7c8d5463188dc3512026b81c2948d4cc239,CIRCLE,THICKNESS_STEP_BLEND,N/A,N/A,N/A,3.141592654,"[33.0,11.525,20.0,35.0,11.525,22.0]","[34.273239545,11.525,20.726760455]","[[33.0,11.525,20.0],[35.0,11.525,22.0]]","[{""edge_ordinal_in_wire"":1,""occ_orientation"":1,""owner_face_geometric_signature_sha256"":""83ba0ab267d19148cf8f97ceb0132bf763feea2020eac17bb07fdc643e654b3f"",""wire_ordinal"":1},{""edge_ordinal_in_wire"":2,""occ_orientation"":0,""owner_face_geometric_signature_sha256"":""bb0675c276656e67d30c6a5f7f506ea310f18ce57afc672bb1dee1c316e95cc4"",""wire_ordinal"":1}]",geometric edge signature + owner-face/wire/ordinal/orientation adjacency + STEP SHA; OCC traversal index receives no identity credit,"PRELIMINARY - NUMERICAL METHOD PROTOTYPE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C06,C06-RR-STEP,4,121,dbad31353c3e324a4ff4620d8bb8049668f56d6869c9cc923b319f273b4051a8,CIRCLE,THICKNESS_STEP_BLEND,N/A,N/A,N/A,2.094395102,"[33.0,9.525,18.0,35.0,9.525,18.535898385]","[34.023490523,9.525,18.180281366]","[[33.0,9.525,18.0],[35.0,9.525,18.535898385]]","[{""edge_ordinal_in_wire"":4,""occ_orientation"":1,""owner_face_geometric_signature_sha256"":""bb0675c276656e67d30c6a5f7f506ea310f18ce57afc672bb1dee1c316e95cc4"",""wire_ordinal"":1},{""edge_ordinal_in_wire"":7,""occ_orientation"":0,""owner_face_geometric_signature_sha256"":""a13a8acdd974c7e6373935d036bfff7a1239c360bf1e064dc97859503b5df467"",""wire_ordinal"":1}]",geometric edge signature + owner-face/wire/ordinal/orientation adjacency + STEP SHA; OCC traversal index receives no identity credit,"PRELIMINARY - NUMERICAL METHOD PROTOTYPE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07,C07-PE,1,138,c3e89b907c3b58591a00f9fe959b9be397d69542c9a598675fdcaf7395a33dea,CIRCLE,SOUTH_WEST_CORNER_R2,1,e8c527934dcbad1f592f82111e1d8b5fff2737fda5aa88240c65015bd9b138df,"[37.8,8.005,-17.2]",3.141592654,"[37.8,8.005,-19.2,39.8,8.005,-17.2]","[38.526760455,8.005,-18.473239545]","[[37.8,8.005,-17.2],[39.8,8.005,-19.2]]","[{""edge_ordinal_in_wire"":2,""occ_orientation"":0,""owner_face_geometric_signature_sha256"":""ceb93d3e44941eb39d40819ffc250441a25398dd53a3bee817a09bf21b4e8549"",""wire_ordinal"":1},{""edge_ordinal_in_wire"":3,""occ_orientation"":1,""owner_face_geometric_signature_sha256"":""d3db6131d7609227ce70c1675ca7bb1b2e0c28ad274270771e0f508881a36cd6"",""wire_ordinal"":1}]",geometric edge signature + owner-face/wire/ordinal/orientation adjacency + STEP SHA; OCC traversal index receives no identity credit,"PRELIMINARY - NUMERICAL METHOD PROTOTYPE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07,C07-PE,2,141,e8c527934dcbad1f592f82111e1d8b5fff2737fda5aa88240c65015bd9b138df,LINE,WEST_STRAIGHT,2,8300dcc81a72a904267c5f3f72f93c2ed1acadb2b108e2bca239d81ec31b412d,"[37.8,8.005,19.2]",36.4,"[37.8,8.005,-17.2,37.8,8.005,19.2]","[37.8,8.005,1.0]","[[37.8,8.005,-17.2],[37.8,8.005,19.2]]","[{""edge_ordinal_in_wire"":2,""occ_orientation"":0,""owner_face_geometric_signature_sha256"":""5792de7a0295c5a04be905802405381aa0b3073688d7d0c025ac4fd4402ca143"",""wire_ordinal"":1},{""edge_ordinal_in_wire"":2,""occ_orientation"":1,""owner_face_geometric_signature_sha256"":""f43f36fd2522fa5e52561782db6355b78f98c4a50c7c6090b788ee77a368e625"",""wire_ordinal"":1}]",geometric edge signature + owner-face/wire/ordinal/orientation adjacency + STEP SHA; OCC traversal index receives no identity credit,"PRELIMINARY - NUMERICAL METHOD PROTOTYPE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07,C07-PE,3,142,8300dcc81a72a904267c5f3f72f93c2ed1acadb2b108e2bca239d81ec31b412d,CIRCLE,NORTH_WEST_CORNER_R2,3,44eb1425f4c71aa4be7146843c9dd7e6d513a4b12beee42621cebe5def6843b6,"[39.8,8.005,21.2]",3.141592654,"[37.8,8.005,19.2,39.8,8.005,21.2]","[38.526760455,8.005,20.473239545]","[[37.8,8.005,19.2],[39.8,8.005,21.2]]","[{""edge_ordinal_in_wire"":1,""occ_orientation"":1,""owner_face_geometric_signature_sha256"":""d184c1ad4684ee47953be4d8cc3e0eac53cbed704253c550fdcec1f3279922a5"",""wire_ordinal"":1},{""edge_ordinal_in_wire"":2,""occ_orientation"":0,""owner_face_geometric_signature_sha256"":""fd17234b78e513bb24625c47870ba4c39b56e16c434373a6f6a943ae4d8feee4"",""wire_ordinal"":1}]",geometric edge signature + owner-face/wire/ordinal/orientation adjacency + STEP SHA; OCC traversal index receives no identity credit,"PRELIMINARY - NUMERICAL METHOD PROTOTYPE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07,C07-PE,4,144,44eb1425f4c71aa4be7146843c9dd7e6d513a4b12beee42621cebe5def6843b6,LINE,NORTH_STRAIGHT,4,1fc3f9c598f8c180f7704df18fd436e85a1220022a10c32c816aa1200695c91f,"[48.2,8.005,21.2]",8.4,"[39.8,8.005,21.2,48.2,8.005,21.2]","[44.0,8.005,21.2]","[[39.8,8.005,21.2],[48.2,8.005,21.2]]","[{""edge_ordinal_in_wire"":1,""occ_orientation"":0,""owner_face_geometric_signature_sha256"":""8c758610c83f800612e8cbd577697a65a5cdc0d0caeca01005ddc935526cbc2f"",""wire_ordinal"":1},{""edge_ordinal_in_wire"":2,""occ_orientation"":1,""owner_face_geometric_signature_sha256"":""df4e67a16e220357c9e98aadac1c563830b48ff5dad4d22494dc86356f97589e"",""wire_ordinal"":1}]",geometric edge signature + owner-face/wire/ordinal/orientation adjacency + STEP SHA; OCC traversal index receives no identity credit,"PRELIMINARY - NUMERICAL METHOD PROTOTYPE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07,C07-PE,5,146,1fc3f9c598f8c180f7704df18fd436e85a1220022a10c32c816aa1200695c91f,CIRCLE,NORTH_EAST_CORNER_R2,5,3650ffd3e066226fa3bbb1609ef8df0e77841259877e7aa38fb35053ec86866f,"[50.2,8.005,19.2]",3.141592654,"[48.2,8.005,19.2,50.2,8.005,21.2]","[49.473239545,8.005,20.473239545]","[[48.2,8.005,21.2],[50.2,8.005,19.2]]","[{""edge_ordinal_in_wire"":2,""occ_orientation"":0,""owner_face_geometric_signature_sha256"":""691bfee05f0eab8d740d0472d61608e8aa3b5f0f6737664b4b5de75d33a28687"",""wire_ordinal"":1},{""edge_ordinal_in_wire"":3,""occ_orientation"":1,""owner_face_geometric_signature_sha256"":""7cf9b71f9011c2ffeacbf5a8f26e60f3924ec77cbfe2079c2d2d6f35cca928a5"",""wire_ordinal"":1}]",geometric edge signature + owner-face/wire/ordinal/orientation adjacency + STEP SHA; OCC traversal index receives no identity credit,"PRELIMINARY - NUMERICAL METHOD PROTOTYPE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
