parity_id,domain,sheet,wire_number,reference,terminal,pin_name,net,p115_state,p118_state,comparison,warning
KAP3-P-001,coil_edm,04_contactor_edm.kicad_sch,W4001,K1,A1,COIL +,K1_A1,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-002,coil_edm,04_contactor_edm.kicad_sch,W4002,K1,A2,COIL -,SAFETY_0V,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-003,coil_edm,04_contactor_edm.kicad_sch,W4003,K1,21,MIRROR NC IN,ARM_AFTER_S2,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-004,coil_edm,04_contactor_edm.kicad_sch,W4004,K1,13,AUX NO IN,SAFETY_24V,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-005,coil_edm,04_contactor_edm.kicad_sch,W4005,K1,22,MIRROR NC OUT,EDM_K1_OUT,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-006,coil_edm,04_contactor_edm.kicad_sch,W4006,K1,14,AUX NO OUT,K1_STATUS,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-007,coil_edm,04_contactor_edm.kicad_sch,W4007,K2,A1,COIL +,K2_A1,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-008,coil_edm,04_contactor_edm.kicad_sch,W4008,K2,A2,COIL -,SAFETY_0V,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-009,coil_edm,04_contactor_edm.kicad_sch,W4009,K2,21,MIRROR NC IN,EDM_K1_OUT,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-010,coil_edm,04_contactor_edm.kicad_sch,W4010,K2,13,AUX NO IN,SAFETY_24V,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-011,coil_edm,04_contactor_edm.kicad_sch,W4011,K2,22,MIRROR NC OUT,SRA1_START_RETURN,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-012,coil_edm,04_contactor_edm.kicad_sch,W4012,K2,14,AUX NO OUT,K2_STATUS,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-013,coil_edm,04_contactor_edm.kicad_sch,W4013,FSR1,1,IN,SRA1_K1_RAW,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-P-014,coil_edm,04_contactor_edm.kicad_sch,W4014,FSR1,2,OUT,K1_A1,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
