source_id,source_type,publisher,document,revision_or_date,use,path_or_url,sha256,access_date,warning
SRC-ISO-12100,OFFICIAL EXTERNAL,ISO,ISO 12100:2010,Edition 1; published 2010-11; current publication is marked to be revised,machinery risk assessment and risk reduction methodology,https://www.iso.org/standard/51528.html,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-ISO-13849-1,OFFICIAL EXTERNAL,ISO,ISO 13849-1:2023,Edition 4; published 2023-04,SRP/CS design and performance-level methodology; does not prescribe this robot's PLr,https://www.iso.org/standard/73481.html,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-ISO-13849-2,OFFICIAL EXTERNAL,ISO,ISO 13849-2:2012,Edition 2; published 2012-10; current while a replacement is under development,validation by analysis and test,https://www.iso.org/standard/53640.html,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-ISO-13850,OFFICIAL EXTERNAL,ISO,ISO 13850:2015,Edition 3; published 2015-11,emergency-stop design principles,https://www.iso.org/standard/59970.html,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-IEC-60204-1,OFFICIAL EXTERNAL,IEC,IEC 60204-1:2016+AMD1:2021 CSV,Edition 6.1; amendment published 2021-09-15; valid; stability date 2027,"machine electrical equipment, protective bonding, control and emergency-stop boundary",https://webstore.iec.ch/en/publication/66124,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-ISO-13482,OFFICIAL EXTERNAL,ISO,ISO 13482:2014,Edition 1; published 2014-02; revision in development,service/personal-care robot hazard reference; no conformity claim,https://www.iso.org/standard/53820.html,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-ISO-23482-1,OFFICIAL EXTERNAL,ISO,ISO/TR 23482-1:2020,Edition 1; published 2020-02,safety-related test-method guidance for personal-care robots,https://www.iso.org/standard/71564.html,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-ISO-23482-2,OFFICIAL EXTERNAL,ISO,ISO/TR 23482-2:2019,Edition 1; published 2019-03,application guidance for ISO 13482,https://www.iso.org/standard/71627.html,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-ISO-13855,OFFICIAL EXTERNAL,ISO,ISO 13855:2024,Edition 3; published 2024-11,safeguard-position reference; applies to persons age 14+ and excludes gravity falls,https://www.iso.org/standard/80590.html,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-ISO-13854,OFFICIAL EXTERNAL,ISO,ISO 13854:2017,Edition 2; published 2017-11; confirmed,minimum-gap reference for crushing only,https://www.iso.org/standard/66459.html,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
