acceptance_id,criterion,execution_state,result,evidence_uri,approver,warning
R261-ACC-01,"U2D2 and JC1 cavity mapping is 1 GND, 2 empty, 3 DATA at both ends",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-02,"No contact, conductor or electrical path exists at cavity 2",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-03,Two EHR-3 housings and four SEH-001T-P0.6 contacts match BOM-054/055,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-04,Black 3051 BK005 GND and white 3051 WH005 DATA fit the published contact AWG/OD range,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-05,YRS-260 is the exact current candidate for SEH-001T-P0.6 and no loose-form-contact substitution occurred,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-06,Finished 500 +/- 5 mm candidate passes received route; raw cut remains process-derived,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-07,The 25 +/- 5 mm pair-lay candidate and 15 mm minimum bend radius are physically verified,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-08,"Continuity, isolation, contact retention and pin-2 absence pass accepted limits",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-09,No-backfeed testing covers all accepted source sequencing combinations,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-10,Waveform/error-rate characterization passes selected rates and worst actuator-current transients,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-11,As-built routing is supported and segregated from actuator-current conductors,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-12,BOM-061 is exact_candidate_hold and BOM-107/108 canonical status drift is corrected,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R261-ACC-13,"No procurement, fabrication, assembly, connection, powered testing, motion, energization or safety credit is authorized",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
