criterion_id,topic,requirement,evidence_required,evidence_received,accepted,warning
FSR-COMP-01,Named people,Identify every assessor/validator and accountable signatory; company reputation alone is insufficient,"CV, role, signature authority and named deliverables",FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-COMP-02,Controlled standards,"Document access to and competence in ISO 12100:2010, ISO 13849-1:2023 and ISO 13849-2:2012 or justified IEC 62061 route",Competence record plus exact controlled revisions,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-COMP-03,Machinery experience,Demonstrate relevant low-voltage electromechanical machinery/robotics experience,Comparable project record with confidential details redacted,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-COMP-04,Allocation,Demonstrate PLr/SIL selection and safety-function decomposition competence,Method statement and named calculation owner,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-COMP-05,Quantitative design,"Demonstrate category/architecture, MTTFd/B10d, DCavg, CCF, systematic-measure and fault-exclusion competence",SISTEMA or equivalent tool/version and review method,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-COMP-06,Validation,"Demonstrate ISO 13849-2 analysis, test, fault injection and measurement-uncertainty competence",Validation plan example and instrument/trace expectations,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-COMP-07,Independence,"Disclose design, sales, component, integration and financial conflicts; no person approves their own work",Signed conflict declaration and role-separation map,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-COMP-08,Provider overlap,"If one provider advises design and validates it, use different named people and written organizational independence accepted before work",Signed independence disposition,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-COMP-09,Site capability,State Boston site-visit ability and what cannot be validated remotely,Written delivery/site plan,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-COMP-10,Evidence custody,"Return signed reports, editable calculations, raw test data, issue log and exact configuration binding",Contract deliverables schedule,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-COMP-11,Authority boundary,Reviewer recommendations do not authorize Project Button work; phase authority remains with controlled gate process,Signed acknowledgement,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR-COMP-12,Expiry/change,"Define when design, component, firmware, standard or test changes invalidate the review",Validity and change-impact clause,FALSE,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
