sequence,source_path,sha256,bytes,role,warning
1,boston-fabrication-route-p0.1/route-status.json,24173cc840d46643dad455972cdce6342c8c53c02d8c119c3c4cdc953d111740,1395,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,boston-fabrication-route-p0.1/bpl-submission/HR30_G01_gripper_fit_plate_nonstructural.stl,3f34070885c28e9322eddbdbe4c286319664a76d6407c1957d0c2230f410bc63,2981484,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,boston-fabrication-route-p0.1/makerspace-submission/HR30_complete_98_part_nonstructural_fit_check.zip,e3a91f8895c4a87d72dd82ecb0eccb238ff99fea344255a01f3d74fd32776ad2,5668726,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,first-fit-article-p0.1/fit-article-status.json,5c6fb1731c790ace6aad201e9ca28032edfaff19a7a4e4d99e40478c40a5b60e,1383,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,first-fit-article-p0.1/HR30_G01_manual_fit_article_plate_candidate.stl,fc3c3842ff0047c3a754c236c8a5084037e2a66564e38ebee0e173154d1b4fc6,6956034,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,first-fit-article-p0.1/HR30-G01-first-fit-article-p0.1.zip,4f72329cbbacfcb2adb29eab9b49c598c070519c26d54de1570214c7390f619b,8442441,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,electrical/axis-commissioning-station-p0.1/candidate-bom.csv,5d8ac3984b5d7a5e610d8be60ea9557b2a81ffd6d46a3903213b9a1383db55f6,1862,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,electrical/axis-commissioning-station-p0.1/bench-harness-p0.1/candidate-bom.csv,0caff7982881c4fcfab2eba6cace74af16f7f92ae8cd6b3a854b79120be46d61,1505,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,electrical/logic-power-kit-p0.1/equipment-register.csv,606d3fed78a2db2b4d25855239f6b0edf4d3c0668168b9eede19758aa801f540,2760,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10,electrical/swd-adapter-p0.1/adapter-bom.csv,02ad7c29c291181c60c98f6a34a287328487a94433e2d6658c3a797295f50180,1991,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
11,harness/actuator-cable-coupon-p0.1/coupon-bom.csv,45202db7a588852d86e5bee4b194604302ef38094edce16d2e3cb68438c6a591,5637,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
12,harness/actuator-cable-coupon-p0.1/tooling-candidate-register.csv,06ec3d407ebb25382fb974465872d0c865b994941d3e5cb38eda6a42d4563d41,2118,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
13,first-energization-readiness-p0.1/readiness-status.json,8bd8de56ea6e8b05a2696a66a05bc657f4567859e69fca14f6203beb25b5eee2,1499,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
14,first-energization-readiness-p0.1/open-holds.csv,ddacfb5c89aebd84990b6c7e9dd80e602f88fcc40b684f31204b16c5d3c7f939,4712,AUTHORITATIVE PROJECT INPUT,"PRELIMINARY - HUMAN APPROVAL REQUIRED BEFORE ANY ORDER OR PHYSICAL WORK - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
