pose_id,link_a,link_b,clearance_mm,common_volume_mm3,interference,planning_clearance_state,model_boundary,authority
P00_NEUTRAL_STAND,L_ankle_pitch_link,L_forearm,207.533230,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,L_gripper,129.155913,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,L_hand,161.107780,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,L_hip_roll_link,297.000000,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,L_hip_yaw_link,306.000000,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,L_shoulder_pitch_link,481.679000,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,L_thigh,173.721000,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,L_upper_arm,359.240000,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,R_ankle_pitch_link,59.000000,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,R_foot,47.000000,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,R_forearm,252.676059,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,R_gripper,201.075234,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,R_hand,218.418437,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,R_hip_roll_link,303.402373,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
P00_NEUTRAL_STAND,L_ankle_pitch_link,R_hip_yaw_link,312.217872,0.000000,NO,PASS,NOMINAL RIGID LINK ENVELOPES; TOLERANCE/COVERS/CABLES/TRACKING ERROR OPEN,NO MOTION OR SAFETY CREDIT
