record_id,reference,candidate,physical_state,e2_boundary,open_evidence,warning
E2-CFG-001,ENC1/BP1,Hammond PJ242010RT / 18P2117,INSTALL CANDIDATE,HOLD,"Panel and backplate candidate only; no drilling until received geometry, layout and qualified review close.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-002,PSU2/J24,GlobTek WR9QI1660YL4NKITR6B with factory YL4/C40337 locking cord + Kycon KPJX-PM-4S,EXACT SOURCE/INTERFACE CANDIDATES,24 V CONTROL SOURCE ONLY,"Received source-cord plug identity/fit, Q-NA blade retention, polarity, load/startup, panel interface, PCB/harness, protection, retention and physical application remain open.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-003,PSU3,"Raspberry Pi 27 W USB-C Power Supply, US family",INSTALL CANDIDATE,5.1 V COMPUTE SOURCE ONLY,Exact US SKU/color and retention remain selection required.,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-004,S0,IDEC XW1E-BV402M-R,INSTALL CANDIDATE,CONTROL ONLY,"Received identity, positive-opening contact mapping, continuity and mounting evidence required.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-005,S1,IDEC HW1B-M1F10-B,INSTALL CANDIDATE,CONTROL ONLY,Received-lot RESET terminal mapping required; schematic placeholders TBD-R1/TBD-R2 remain.,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-006,S2,IDEC HW1B-M1F10-G,INSTALL CANDIDATE,CONTROL ONLY,Received-lot ARM terminal mapping required; schematic placeholders TBD-A1/TBD-A2 remain.,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-007,H1,IDEC HW1P-1FQD-A-24V,INSTALL CANDIDATE,DIAGNOSTIC ONLY; ZERO SAFETY CREDIT,Execute HR-V0-H1-RCV-P0.1; TBD-HA/TBD-HB remain until received verification.,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-008,SR1/SRA1,Pilz PNOZ s4 750104,INSTALL CANDIDATE,CONTROL ONLY,"Qualified application review, configuration, terminal protection, receiving and fault validation required.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-009,KWD1/KWD2,Phoenix Contact 2967060,INSTALL CANDIDATE,ORDINARY DIAGNOSTIC RELAYS; ZERO SAFETY CREDIT,Received polarity and FMEA/fault evidence required.,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-010,K1/K2,Schneider LC1D25BD,INSTALL COIL/MIRROR CANDIDATE,LOAD POLES UNSOURCED AND UNWIRED,Coils and auxiliary/mirror contacts only at E2; loaded DC interruption remains prohibited.,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-011,WDPCB1,Project Button PCB-P0.9 / HR-V0-WD-PCBA-DATA-P0.2 / HR-V0-WD-CAM-P0.1 / HR-V0-E2-P115-PARITY-P0.1,P1.15-PARITY INSTALL CANDIDATE,CONTROL ONLY,"P1.15 schedule/native-net parity is controlled and current internal CAM exists; supplier-normalized XYRS, assembler/process acceptance, fabrication, bare-board, assembly, HIL, fault, EMC, thermal and qualified evidence remain absent.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-012,DC1,TRACO POWER TSR 1-2450,INSTALL ON WDPCB1 CANDIDATE,CONTROL ONLY,"Received identity plus PCB, brownout, EMC and thermal verification required.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-013,PI1,Raspberry Pi 5 8GB,INSTALL CANDIDATE,COMPUTE ONLY; NO SAFETY AUTHORITY,"GPIO cable, retention, image/hash and fresh-command controls remain open.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-014,XT1,5x Phoenix 3209510; 1x 3209523; 1x 3030417; 2x 3022218; 1x 0828734,EXACT CATALOG/POSITION CANDIDATE,CONTROL TERMINALS ONLY,"Position map frozen; conductors, ferrules, protection, marking and physical inspection remain open.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-015,FSR1/FSR2,Phoenix 3211861 holders + 3030420 end cover,INSTALL HOLDER CANDIDATE,NO FUSE LINK SELECTED,"Fuse links, coordination, grouping, conductor and received compatibility remain selection required.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-016,PSA1/JA1,Mean Well GST280A12-C6P actuator source and adapter,PHYSICALLY ABSENT,NO AC OR DC CONNECTION,"Must be removed from E2 boundary, capped and labeled.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-017,F0/SD1,Actuator source protection and master disconnect,PHYSICALLY ABSENT OR UNWIRED,NO ACTUATOR CURRENT PATH,F0 remains selection required; no source/load conductors may be landed.,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-018,F1/F2/F3/INJ1,"F1/F2/F3, three P0.3 limiter carriers and DXL-STAR-P0.2-CARRIER-CANDIDATE",PHYSICALLY ABSENT OR UNWIRED,NO ACTUATOR CURRENT PATH,"Current P1.15 actuator subset exists only as digital candidate evidence; all protection, current coordination, branch harness and physical evidence remain open and the complete subset is absent or unwired at E2.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-019,U1/J1/J2/J3,U2D2 and actuator interfaces,PHYSICALLY ABSENT OR DISCONNECTED,"COVERED, LABELED, VERIFIED DEAD","No actuator, U2D2 power path or branch cable is permitted at E2.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-020,SP1,Project-added DC 0 V / PE star,DNP,PROHIBITED,Do not fit; no project-added star is released for the mixed external factory-adapter architecture with source-defined bonding.,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-021,TP15/TP16/TP2,Watchdog SWDIO/SWCLK/return test access,EXISTING PCB TEST POINTS - NO TOOL CONNECTED FOR E2,TOOL/DEBUG CONNECTION ABSENT,"No installed debug connector exists. Programmer, unpowered fixture and procedure remain selection required; no output bypass or back-power is permitted.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-022,JFRAME1,Frame/shield bonding interface,DNP FOR E2,NO INFERRED 0 V/PE/SHIELD LINK,Bonding/EMC application remains selection required.,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-CFG-023,F24,24 V control-source branch protection,SELECTION REQUIRED,NO PROTECTION VALUE OR HARDWARE RELEASED,"Fault current, inrush, time-current coordination, conductor/connector limits, cable length, ambient, bundling and jurisdiction remain open.",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
