fmea_id,item_or_boundary,failure_mode,df01_effect,sf01_sf03_effect,required_verification,safe_by_design,status,warning
WDF-001,PI heartbeat source,stops toggling,DF-01 should time out; physical timing open,none if independent paths remain intact,FI-001,CONDITIONAL - PHYSICAL PROOF REQUIRED,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-002,PI heartbeat source,stuck-valid or plausible erroneous toggling,DF-01 can fail to demand stop,none by claim; containment assumes this failure,FI-002;FI-003,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-003,WDCTRL1 RP2040/firmware/clock,both outputs commanded or stuck energized,both KWD relays can remain picked,E-stop and restart paths must remain effective,FI-004,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-004,UDRV1 or WD1_DRIVE,shorted on,KWD1 can remain picked,channel-1 E-stop path must still open; exact fault influence open,FI-005,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-005,KWD1 contact 11-14,welded/shorted closed,DF-01 channel 1 lost,S0 channel 1 must still command SR1 dropout,FI-006;FI-019,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-006,KWD1 and KWD2 contacts 11-14,both welded/bypassed,DF-01 completely lost,both S0 channels and restart prevention must remain effective,FI-007;FI-020,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-007,KWD coil or conductor,open,nuisance diagnostic stop expected,restart must remain inhibited after recovery,FI-008,CONDITIONAL - PHYSICAL PROOF REQUIRED,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-008,SR1 input return harness,short bypasses S0 contact or bridges input path,not a diagnostic-credit issue,SF-01/SF-03 can be impaired; protected-routing decision required,FI-021;FI-022,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-009,SAFETY_24V,loss/brownout/recovery,DF-01 unavailable; relay chatter possible,dropout/recovery and no automatic restart must be proved,FI-009;FI-010,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-010,UFB1 feedback,false healthy/fault,diagnostic indication lost,"must have no coil, RESET or ARM authority",FI-011;FI-012,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-011,PCB/panel contamination,cross-net leakage or conductive bridge,unbounded ordinary behavior,SF-01/SF-03 impairment possible; cleanliness/separation unresolved,FI-023,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-012,KWD1 internal boundary,A1 SAFETY_24V short to terminal 14/SR1_S12,can inject voltage downstream of S0 channel 1,potential single-channel SF-01 impairment; qualified circuit analysis required,FI-024,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-013,KWD2 internal boundary,A1 SAFETY_24V short to terminal 14/SR1_S22,can inject voltage downstream of S0 channel 2,potential single-channel SF-01 impairment; qualified circuit analysis required,FI-025,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-014,KWD1 pole-to-pole boundary,terminal 21 SAFETY_24V short to terminal 14,feedback supply can reach SR1_S12,potential channel-1 bypass; exact relay fault model open,FI-024,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-015,KWD2 pole-to-pole boundary,terminal 21 SAFETY_24V short to terminal 14,feedback supply can reach SR1_S22,potential channel-2 bypass; exact relay fault model open,FI-025,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-016,adjacent KWD modules/panel wiring,common bridge from SAFETY_24V to both 14 returns,both SR1 returns may be forced,potential two-channel SF-01 defeat; redesign or accepted exclusion required,FI-026,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-017,JWP1,pin 1 SAFETY_24V short to pin 3 or 4 coil sink,one/both KWD relays may energize,DF-01 lost; E-stop independence still must be proved,FI-013,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-018,JWP1,pin 3-to-4 bridge,channels become coupled,common-cause diagnostic loss; no safety credit,FI-014,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-019,JWF1,pin 1-to-2 bridge,feedback channels become coupled,"must not affect E-stop, RESET or ARM authority",FI-015,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-020,JWF1/PCB,WDx_NC_24V short to SAFETY_0V,branch fault/current and false indication,F24/protection response and no safety-path damage open,FI-016,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-021,ISO1,LED/transistor short or loss of isolation,heartbeat can be stuck or compute/safety returns coupled,no credited path may depend on isolation; return coupling consequence open,FI-017,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
