role,path,normalized_lf_sha256,hash_boundary,state,warning
generator,tools/generate_hr30_harness_duty_thermal_screen_p01.py,bb61deeda879618d2362f3213a5babf3fda2c526b0bf9a9b36a783ed6756838c,UTF-8 TEXT NORMALIZED TO LF,BOUND,"PRELIMINARY - ROUTE-SPECIFIC DUTY/VOLTAGE-DROP/LOSS PLANNING SCREEN ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR THERMAL RATING - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
duty samples,hr30/whole-body-p0.1/harness/duty-current-envelope-p0.1/current-equivalent-samples.csv,a825baf450540db22615a479813c3f9dfd574b9ba58e282bf91caaf5ce8e795e,UTF-8 TEXT NORMALIZED TO LF,BOUND,"PRELIMINARY - ROUTE-SPECIFIC DUTY/VOLTAGE-DROP/LOSS PLANNING SCREEN ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR THERMAL RATING - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
axis duty envelopes,hr30/whole-body-p0.1/harness/duty-current-envelope-p0.1/axis-current-duty-envelope.csv,afbb658ead8a0464a3dba29bf2d5ed90a8d6798db8f2e0648ba61a3890dd2d82,UTF-8 TEXT NORMALIZED TO LF,BOUND,"PRELIMINARY - ROUTE-SPECIFIC DUTY/VOLTAGE-DROP/LOSS PLANNING SCREEN ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR THERMAL RATING - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
bus duty envelopes,hr30/whole-body-p0.1/harness/duty-current-envelope-p0.1/bus-current-duty-envelope.csv,2264372e16e46d4c9daf0c5fe82f62617edbabf19e9d10d7388ce0eb22e33d90,UTF-8 TEXT NORMALIZED TO LF,BOUND,"PRELIMINARY - ROUTE-SPECIFIC DUTY/VOLTAGE-DROP/LOSS PLANNING SCREEN ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR THERMAL RATING - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
duty status,hr30/whole-body-p0.1/harness/duty-current-envelope-p0.1/duty-current-status.json,8f076ccb2d9e96619898f6eec1853e6daa1c8a12604a9c5035b0dae7eb87710d,UTF-8 TEXT NORMALIZED TO LF,BOUND,"PRELIMINARY - ROUTE-SPECIFIC DUTY/VOLTAGE-DROP/LOSS PLANNING SCREEN ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR THERMAL RATING - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
axis cable candidates,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/axis-power-cable-candidate.csv,488f1b313b4eee8a7a75f5e1e08e667e907edb452fa5a642ad0d661b73e2f11c,UTF-8 TEXT NORMALIZED TO LF,BOUND,"PRELIMINARY - ROUTE-SPECIFIC DUTY/VOLTAGE-DROP/LOSS PLANNING SCREEN ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR THERMAL RATING - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
cable primary sources,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/primary-source-register.csv,e807b15b90996abcfb472f16056f64a7882fa6f4934e5ea54e07a4d24fd98ae4,UTF-8 TEXT NORMALIZED TO LF,BOUND,"PRELIMINARY - ROUTE-SPECIFIC DUTY/VOLTAGE-DROP/LOSS PLANNING SCREEN ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR THERMAL RATING - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
axis physical binding,hr30/whole-body-p0.1/harness/physical-p0.1/axis-harness-binding.csv,3bdc0426a2f755a0b1943f89f31f10f3cca0ee199dbd7b864b9c338236458bd2,UTF-8 TEXT NORMALIZED TO LF,BOUND,"PRELIMINARY - ROUTE-SPECIFIC DUTY/VOLTAGE-DROP/LOSS PLANNING SCREEN ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR THERMAL RATING - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
physical derating baseline,hr30/whole-body-p0.1/harness/physical-p0.1/current-derating-register.csv,27dbc0af83b667115747ee2fc46a2f4e074a7877442e722a74b59031d9415327,UTF-8 TEXT NORMALIZED TO LF,BOUND,"PRELIMINARY - ROUTE-SPECIFIC DUTY/VOLTAGE-DROP/LOSS PLANNING SCREEN ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR THERMAL RATING - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
physical route segments,hr30/whole-body-p0.1/harness/physical-p0.1/route-segment-register.csv,a35dc400ae76e4a931f33b071d8d3abeefcdc8b25733f92a1fcc99f7f668f56b,UTF-8 TEXT NORMALIZED TO LF,BOUND,"PRELIMINARY - ROUTE-SPECIFIC DUTY/VOLTAGE-DROP/LOSS PLANNING SCREEN ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR THERMAL RATING - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
