part_id,module,role,material_candidate,process_candidate,cad_volume_mm3,density_screen_kg_m3,cad_mass_screen_kg,bbox_mm,service_state,release_state
T01_TORSO_RAIL_R,T01,primary frame rail,6061-T6/T651 HOLLOW EXTRUSION CANDIDATE,cut/drill fixture; exact section and temper selection required,18199.121,2700.0,0.049138,18.004 x 18.004 x 146.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
T01_TORSO_RAIL_L,T01,primary frame rail,6061-T6/T651 HOLLOW EXTRUSION CANDIDATE,cut/drill fixture; exact section and temper selection required,18199.121,2700.0,0.049138,18.004 x 18.004 x 146.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
T01_SHOULDER_CROSS_TUBE,T01,shoulder load bridge,6061-T6/T651 MACHINED OR EXTRUDED CANDIDATE,3-axis machining/extrusion finish; joint load proof required,63414.171,2700.0,0.171218,174.006 x 28.006 x 24.006,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
P01_PELVIS_PLATE_FRONT,P01,pelvis frame plate,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate; MTR/tolerance/fixture review required,23179.462,2700.0,0.062585,136.004 x 5.005 x 62.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
P01_PELVIS_PLATE_REAR,P01,pelvis frame plate,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate; MTR/tolerance/fixture review required,23179.462,2700.0,0.062585,136.004 x 5.005 x 62.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
P01_WAIST_BRIDGE,P01,waist load bridge,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,35248.870,2700.0,0.095172,112.006 x 62.006 x 8.007,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
N01_NECK_TUBE,N01,neck frame tube,6061-T6/T651 TUBE OR MACHINED CANDIDATE,tube/machined candidate; buckling and joint proof required,26820.161,2700.0,0.072414,38.008 x 38.008 x 58.008,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
P01_RESTRAINT_BRIDGE,P01,fall-restraint load-path candidate,6061-T651 PLATE CANDIDATE,CNC candidate; no restraint rating or load credit,13745.015,2700.0,0.037112,84.004 x 14.004 x 12.004,FIXED FRAME - NO FALL LOAD CREDIT,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_SHIN_SIDE_FRONT,L01,shin side plate,6061-T651 4 MM WINDOWED PLATE CANDIDATE,2.5D CNC/waterjet candidate; edge finish and flatness open,15652.434,2700.0,0.042262,50.003 x 4.005 x 136.003,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_THIGH_SIDE_FRONT,L01,thigh side plate,6061-T651 4 MM WINDOWED PLATE CANDIDATE,2.5D CNC/waterjet candidate; edge finish and flatness open,17869.822,2700.0,0.048249,56.003 x 4.005 x 142.003,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
