j2_deg,metal_clearance_mm,metal_intersection_mm3,maximum_bumper_envelope_clearance_mm,classification,status
115.00,1.072358093,0.000000000,0.322358093,SOFT_LIMIT,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.05,1.053321592,0.000000000,0.303321592,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.10,1.034324271,0.000000000,0.284324271,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.15,1.015366143,0.000000000,0.265366143,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.20,0.996447222,0.000000000,0.246447222,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.25,0.977567524,0.000000000,0.227567524,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.30,0.958727063,0.000000000,0.208727063,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.35,0.939925852,0.000000000,0.189925852,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.40,0.921163907,0.000000000,0.171163907,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.45,0.902441241,0.000000000,0.152441241,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.50,0.883757869,0.000000000,0.133757869,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.55,0.865113805,0.000000000,0.115113805,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.60,0.846509063,0.000000000,0.096509063,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.65,0.827943658,0.000000000,0.077943658,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.70,0.809417603,0.000000000,0.059417603,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.75,0.790930912,0.000000000,0.040930912,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.80,0.772483601,0.000000000,0.022483601,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.85,0.754075682,0.000000000,0.004075682,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
115.90,0.735707170,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
