quadrature_order,element_tag,quadrature_point_index,physical_x_mm,physical_y_mm,physical_z_mm,determinant,normalized_determinant,warning,nearest_exact_face_tag_diagnostic_only,nearest_exact_face_signature_sha256,nearest_exact_face_type,nearest_exact_face_bbox_mm_json,nearest_exact_face_area_mm2,nearest_exact_face_center_mm_json,nearest_exact_face_distance_mm,nearest_exact_point_mm_json
4,716552,2,-50.104326975460296,7.989003499402324,-16.59514297646186,-0.0009819892830513833,-0.008998363958444689,"PRELIMINARY - RAIL-JACOBIAN SUCCESSOR FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",127,a54656e19c1bee4e8b8ab969c4eb2e80cbbe92a3818fe63b61c893d93d411071,Cylinder,"[-50.2000001,8.0049999,-19.2000001,-48.1999999,8.5250001,-17.1999999]",1.63362818,"[-49.473239545,8.265,-18.473239545]",0.0019228672966228489,"[-50.10616782738707,7.988989239876773,-16.59458756716229]"
6,716552,7,-50.094433844753596,7.9958910259718845,-16.562935857792418,-0.0013229883838962188,-0.012111717830386136,"PRELIMINARY - RAIL-JACOBIAN SUCCESSOR FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",127,a54656e19c1bee4e8b8ab969c4eb2e80cbbe92a3818fe63b61c893d93d411071,Cylinder,"[-50.2000001,8.0049999,-19.2000001,-48.1999999,8.5250001,-17.1999999]",1.63362818,"[-49.473239545,8.265,-18.473239545]",0.0013295816872418709,"[-50.09573331596559,7.995969118557262,-16.562665555035572]"
6,716552,14,-50.12584528012732,7.990743054436419,-16.666899163738776,-0.00030750350795558925,-0.0028195089001228175,"PRELIMINARY - RAIL-JACOBIAN SUCCESSOR FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",127,a54656e19c1bee4e8b8ab969c4eb2e80cbbe92a3818fe63b61c893d93d411071,Cylinder,"[-50.2000001,8.0049999,-19.2000001,-48.1999999,8.5250001,-17.1999999]",1.63362818,"[-49.473239545,8.265,-18.473239545]",0.0017316134685294827,"[-50.12751413484566,7.990743054436419,-16.666437201474658]"
6,716552,16,-50.126448866883585,7.99074305443642,-16.66648032059733,-0.0003051354500983306,-0.0028022621735416977,"PRELIMINARY - RAIL-JACOBIAN SUCCESSOR FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",127,a54656e19c1bee4e8b8ab969c4eb2e80cbbe92a3818fe63b61c893d93d411071,Cylinder,"[-50.2000001,8.0049999,-19.2000001,-48.1999999,8.5250001,-17.1999999]",1.63362818,"[-49.473239545,8.265,-18.473239545]",0.0010381481811682972,"[-50.12744935590515,7.99074305443642,-16.666203240529853]"
6,716552,19,-50.11747433119974,7.944606609441206,-16.643885243934847,-0.000307503507952069,-0.0028195089000907186,"PRELIMINARY - RAIL-JACOBIAN SUCCESSOR FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",127,a54656e19c1bee4e8b8ab969c4eb2e80cbbe92a3818fe63b61c893d93d411071,Cylinder,"[-50.2000001,8.0049999,-19.2000001,-48.1999999,8.5250001,-17.1999999]",1.63362818,"[-49.473239545,8.265,-18.473239545]",0.003511963860015993,"[-50.12087457241705,7.944644685450775,-16.643007291751847]"
8,716552,6,-50.10770845987412,7.986612818607285,-16.606335315547504,-0.0008636274889798931,-0.007915961384488862,"PRELIMINARY - RAIL-JACOBIAN SUCCESSOR FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",127,a54656e19c1bee4e8b8ab969c4eb2e80cbbe92a3818fe63b61c893d93d411071,Cylinder,"[-50.2000001,8.0049999,-19.2000001,-48.1999999,8.5250001,-17.1999999]",1.63362818,"[-49.473239545,8.265,-18.473239545]",0.00205372308429178,"[-50.109669425965855,7.986612818607285,-16.605725077484113]"
8,716552,10,-50.08293814968256,8.003705126354028,-16.526464061709447,-0.0017098618394483208,-0.01563294501366461,"PRELIMINARY - RAIL-JACOBIAN SUCCESSOR FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",127,a54656e19c1bee4e8b8ab969c4eb2e80cbbe92a3818fe63b61c893d93d411071,Cylinder,"[-50.2000001,8.0049999,-19.2000001,-48.1999999,8.5250001,-17.1999999]",1.63362818,"[-49.473239545,8.265,-18.473239545]",0.00022627094602697988,"[-50.08316064060198,8.003708065094632,-16.526422980136992]"
8,716552,33,-50.11119704749191,7.996801657573505,-16.61831808070707,-0.000799942297016172,-0.007329488233165982,"PRELIMINARY - RAIL-JACOBIAN SUCCESSOR FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",127,a54656e19c1bee4e8b8ab969c4eb2e80cbbe92a3818fe63b61c893d93d411071,Cylinder,"[-50.2000001,8.0049999,-19.2000001,-48.1999999,8.5250001,-17.1999999]",1.63362818,"[-49.473239545,8.265,-18.473239545]",0.002249494626295187,"[-50.11338424997817,7.9968687931289315,-16.61779667474714]"
8,716552,35,-50.11245872585883,7.996801657573501,-16.617801894054484,-0.0007981734977010541,-0.00732330146790946,"PRELIMINARY - RAIL-JACOBIAN SUCCESSOR FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",127,a54656e19c1bee4e8b8ab969c4eb2e80cbbe92a3818fe63b61c893d93d411071,Cylinder,"[-50.2000001,8.0049999,-19.2000001,-48.1999999,8.5250001,-17.1999999]",1.63362818,"[-49.473239545,8.265,-18.473239545]",0.0008942837268725209,"[-50.113337165100596,7.996851731146215,-16.617641954941103]"
8,716552,38,-50.10494444318513,7.962340458828749,-16.60112804223874,-0.0007999422970161688,-0.007329488233166058,"PRELIMINARY - RAIL-JACOBIAN SUCCESSOR FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",127,a54656e19c1bee4e8b8ab969c4eb2e80cbbe92a3818fe63b61c893d93d411071,Cylinder,"[-50.2000001,8.0049999,-19.2000001,-48.1999999,8.5250001,-17.1999999]",1.63362818,"[-49.473239545,8.265,-18.473239545]",0.003137222187087637,"[-50.10793725473362,7.96234045884661,-16.600187169193962]"
