file,sha256,bytes,warning
README.md,9b1e0fbf57d3057f14eaab9b9aadcfe8923ce13c6f0b6b6dcc766c7ef0a6bb3f,841,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
axis-successor-results.csv,6eb1cba8bc61ec72501d2dc20910da834e90549d065000e3ebfc109372815a76,19875,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
dynamics-successor-source.py,84ec5107d23cf0e9efa468d97f77c5b3f70eca0db76bc8c7e8e275d39a655e14,33258,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
dynamics-successor-status.json,7d674facf44a86fe041590f91f043f8ff98a516cb9d486c03d749e56c4bc913d,772,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
hip4-transmission-scenario.csv,99cd9ae742fe224f8e180846beb27abdf6635e5f815c22b49de24ef5665522c1,1807,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
hr30_tether_hip4_inverse_feedforward.xml,8d5c36aea8b46c1db2785630d5fba3f7473918f23eb8b8c87e6f1e10ff2d9673,22437,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
index.html,ddb75a3e0e24a98d95db33b2e800d3459f20c13a1265a8bdfb7aa5a534811dd9,4228,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
open-holds.csv,ef182324c361daaeeab64eb3ec1cb3f99380a878124aa7a2284a11db14bae265,2468,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
runtime-provenance.json,00f7ef368a9ddddbc67812559617fdf61415783ffc127902691110b3ff3a23ed,824,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
sequence-successor-summary.csv,3c53ec6beeec340bca85c979cff5a81afc0631d3e4d733345187fadd48a0d3c3,1246,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
source-binding.csv,180cc57c683c298ab61a1f4ebd4814be5c0da90750b27b2a63fdd50229fe39e8,2726,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
successor-samples.csv,a92ba223cd35642462101d2d2b71039758c2693220192389358d83d85b0ca503,328927,"PRELIMINARY - NUMERICAL HIP-REDUCTION SUCCESSOR ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
