source_id,publisher,document,revision_or_date,official_url_or_path,sha256,verified_scope,execution_state,authority,warning
CFA-S01,Project Button,serial link topology,current generated P0.1 input,hr30/whole-body-p0.1/harness/physical-p0.1/serial-data-link-register.csv,ecd172da72fcbd6bdb97ab95f93e3ab9b0cfbf4f307f5e60f567c4e0d5392bdd,eight ordinal-one carrier-to-first-axis links and planning lengths,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-S02,Project Button,carrier terminal register,current generated P0.1 input,hr30/whole-body-p0.1/electrical/carriers-p0.1/carrier-terminal-register.csv,5a52b8bed3848cbb46b5e47b331787092d5de5bbc7b5ada0f31aaeecda385c92,J101-J105/J201-J203 exact field-connector nets and pads,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-S03,Project Button,bus reference register,current generated P0.1 input,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/bus-reference-register.csv,716684f5e4329fc30ab0518149a1d64b651ba16961ff86bb4b2245eb096d313f,five isolated field-reference star paths and three single CTRL_GND paths,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-S04,Project Button,actuator connector cavity register,current generated P0.1 input,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/connector-cavity-population.csv,4dbfc4976a13d5a46106f66606c974ebe9d544503d938ad039f1adf9a3dc1d86,first-axis combined power/data housing population,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-S05,Project Button,data cable candidates,current generated P0.1 input,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/data-cable-candidate.csv,5a32fc4de45c127f28bdd746514d619f012c917848cce041d6f08bb2ff754e2c,existing candidate conductor families and direct-crimp incompatibility boundary,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-S06,Project Button,inter-axis adapter package,current generated P0.1 input,hr30/whole-body-p0.1/harness/interaxis-data-adapter-p0.1/interaxis-adapter-register.csv,f47bddd7cf42db44ccb538cf472217828eb2681299a5df4abb4c3b8a5854d394,downstream data-only topology continuity,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-S07,JST,GH connector family,live official product page; accessed 2026-08-18,https://www.jst-mfg.com/product/index.php?lang=2&series=105,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,GHR-02V-S/GHR-03V-S; SSHL-002T-P0.2; AWG30-26 / 0.05-0.13 mm2; 0.76-1.0 mm insulation OD,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-S08,JST,EH connector family,official eEH catalog; accessed 2026-08-18,https://www.jst-mfg.com/product/pdf/eng/eEH.pdf,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,EHR-3/EHR-4 and SEH-001T-P0.6; AWG30-22 / 0.05-0.33 mm2,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-S09,ROBOTIS,XH540-W270 connector information,ROBOTIS Docs live page; accessed 2026-08-18,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,"RS-485 actuator pin 1 GND, 2 VDD, 3 DATA+, 4 DATA-",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-S10,ROBOTIS,XC330-T288 connector information,ROBOTIS Docs live page; accessed 2026-08-18,https://docs.robotis.com/docs/dxl/model_reference/x_series/xc_series/xc330-t288/,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,"TTL actuator pin 1 GND, 2 VDD, 3 DATA",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-S11,igus,CFBUS.PVC.001,live official product page; accessed 2026-08-18,https://www.igus.com/product/CFBUS_PVC?artnr=CFBUS-PVC-001,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,2 x 24 AWG / 0.25 mm2 shielded pair; too large for direct GH contact crimp; test-coupon only,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
