source_id,line_ids,authority,order_code,url,revision_or_access,controlled_fact,boundary
EBAS-001,EVA-001,ROBOTIS,U2D2; SKU 902-0132-000,https://robotis.us/u2d2/,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-002,EVA-002;EVA-003,ROBOTIS,XM540-W270-T; SKU 902-0137-000,https://robotis.us/dynamixel-xm540-w270-t/,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-003,EVA-004,ROBOTIS,XM430-W350-T; SKU 902-0124-000,https://robotis.us/dynamixel-xm430-w350-t/,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-004,EVA-005,Pilz,PNOZ s4 24 VDC; order 750104,https://www.pilz.com/en-US/eshop/product/750104,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-005,EVA-006,Schneider Electric,LC1D25BD,https://www.se.com/us/en/product/LC1D25BD/,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-006,EVA-007,IDEC,XW1E-BV402M-R,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/emergency-stop-switches/xw-22mm-estop/xw1e-bv402m-r,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-007,EVA-008,Raspberry Pi,Raspberry Pi Pico 1; SC0915,https://www.raspberrypi.com/products/raspberry-pi-pico/,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-008,EVA-009,Phoenix Contact,PLC-RSC-24DC/21-21; item 2967060,https://www.phoenixcontact.com/en-pc/products/relay-module-plc-rsc-24dc-21-21-2967060,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-009,EVA-010,ROBOTIS,OpenMANIPULATOR-X Frame Set RM-X52; SKU 905-0023-000,https://www.robotis.us/openmanipulator-x-frame-set-rm-x52/,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-010,EVA-011;EVA-012,ROBOTIS,FR13-H101K Set; SKU 903-0270-300,https://robotis.us/fr13-h101k-set/,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-011,EVA-013,ROBOTIS,FR13-S102K Set; SKU 903-0269-300,https://robotis.us/fr13-s102k-set/,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-012,EVA-014,IDEC,HW1B-M1F10-B,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/pushbuttons-pilot-lights/hw-22mm-heavy-duty/hw1b-m1f10-b,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-013,EVA-015,IDEC,HW1B-M1F10-G,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/pushbuttons-pilot-lights/hw-22mm-heavy-duty/hw1b-m1f10-g,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-014,EVA-016,Mean Well,GST280A12-C6P,https://www.meanwell.com/Upload/PDF/GST280A/GST280A-SPEC.PDF,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
EBAS-015,EVA-017,GlobTek,WR9QI1660YL4NKITR6B,https://www.globtek.com/_0/WR9QI1660YL4NKITR6B/o,official record rechecked 2026-08-09,Exact manufacturer/order-code identity and current product-record presence; price only where the line register says OFFICIAL WEB SNAPSHOT,"Page presence is not allocated stock, total landed cost, application acceptance, received identity or selection approval"
