hold_id,subject,state,closure_evidence,accepted,warning
E2GB-H-001,Boston premises,OPEN,"exact receptacle, branch, OCPD, GFCI, grounding, ambient and authority record",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-H-002,received PSU2,OPEN,"identity, marks, blade/cord, polarity, load/startup/brownout and condition evidence",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-H-003,received PSU3,OPEN,"exact US SKU, marks, condition, retention, target load and shell/return evidence",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-H-004,24 V interface,OPEN,"J24 fit, retention, pin continuity/polarity, protection and strain relief",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-H-005,actuator-domain absence,OPEN,PSA1/cord/JA1/actuator-plug absence plus zero-voltage evidence,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-H-006,DNP proof,OPEN,SP1 and JFRAME1 accepted ECAD/BOM/physical inspection,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-H-007,metalwork inventory,OPEN,exact backplate/rail/duct/enclosure/guard/frame materials and exposed conductive parts,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-H-008,continuity/insulation method,OPEN,"qualified numeric limits, instruments, uncertainty and exact test points",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-H-009,USB shell relationship,OPEN,received installed continuity/isolation survey,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-H-010,control-domain first fault,OPEN,accepted shock/fire/fault-clearing/noninterference analysis for the exact E2 boundary,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-H-011,configuration acceptance,OPEN,P1.18 acceptance or exact accepted P1.15 implementation plus synchronized build records,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-H-012,qualified E2 authorization,OPEN,"signed, competent, independent, configuration-specific EG-022 disposition",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
