consumer_id,consumer,domain,accepted_property_inputs,additional_required_inputs,current_artifact,current_release_state,rebuild_state,warning
CON-01,J1 gravity/static torque,mechanical load,mass; J1 COM radius; uncertainties,acceleration; pose transform; load factor; safety factors,cad/hr-v0/generated/arm-architecture-p0.8-dwg-integrated/joint-load-screen.csv,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CON-02,J2 gravity/static torque,mechanical load,mass; J2 COM radius; uncertainties,pose transform; payload; load factor; safety factors,cad/hr-v0/generated/arm-load-basis-p1.1-x430/gravity-envelope.csv,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CON-03,J1 acceleration torque,mechanical load,J1 inertia; uncertainty,released acceleration/jerk/duty and drivetrain reflection,test-fixtures/hr-v0/dynamic-characterization-p0.1/,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CON-04,J2 acceleration torque,mechanical load,J2 inertia; uncertainty,released acceleration/jerk/duty and drivetrain reflection,release/hr-v0/x430-duty-characterization-p0.1/,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CON-05,rotational stopping energy,stopping,J1/J2 inertia; uncertainties,measured velocity; drive persistence; braking/coast; compliance,controls/hr-v0-stopping-budget-p0.1.csv,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CON-06,hard-stop load/energy,mechanical stop,mass; COM; inertia; uncertainties,bumper force-stroke; tolerance; speed; drive persistence; impact factor,cad/hr-v0/generated/arm-load-basis-p1.1-x430/stop-load-sensitivity.csv,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CON-07,guard/catch impact,containment,mass; COM; inertia; uncertainties,detached-part set; direction; drive energy; material/retention proof,cad/hr-v0/guard-impact-basis-p0.1/impact-energy-cases.csv,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CON-08,power-loss collapse/receiver,containment,mass; COM; inertia; uncertainties,friction; backdrive; start pose; contact sequence; receiver proof,safety/hr-v0-power-loss-containment-p0.1/power-loss-energy-bound.csv,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CON-09,joint/fastener/plate structure,structure,mass; COM; inertia; uncertainties,joint stiffness; shock/fatigue spectrum; safety factors; material allowables,release/hr-v0/mechanical-shop-rfq-assembly-p0.1/joint-verification-matrix.csv,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CON-10,actuator continuous/cyclic duty,thermal/control,mass; COM; inertia; uncertainties,efficiency; current/torque curve; thermal network; duty trajectory,release/hr-v0/x430-duty-characterization-p0.1/duty-test-sequence.csv,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CON-11,firmware pose/rate/acceleration limits,control,accepted downstream load/stop/duty envelopes,HIL; calibration; quantization; watchdog/fault behavior,firmware/supervisor/actuator-config.json,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CON-12,qualified motion-test matrix,verification,all accepted downstream analyses,test fixtures; uncertainty; witness; work authorization,tests/forms/hr-v0-dynamic-characterization-template.csv,INCOMPLETE HISTORICAL/PLANNING SCREEN - NOT A RELEASE INPUT,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
