record_id,inspection,instrument_or_method,acceptance_criterion,result,state,inspector,date,warning
PCBA-FAI-001,supplier/facility identity,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-002,board lot and serialization,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-003,board dimensions/thickness,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-004,mount-hole diameter/position,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-005,finish/mask/legend,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-006,bare-board electrical test,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-007,ISO1 copper/mask/contamination spacing,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-008,UDRV1/UDRV2 lead joints,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-009,UFB1 lead joints,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-010,Pico module seating/joints,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-011,passive placement/joints,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-012,Harwin test-point placement/joints,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-013,DC1 seating/polarity/lead trim,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-014,JWP1 seating/orientation,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-015,JWF1 seating/orientation,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-016,JWH1 seating/orientation,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-017,THT underside maximum protrusion,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-018,flux/cleanliness evidence,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-019,AOI/manual report,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-020,rework/deviation record,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-021,unpowered continuity,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-022,unpowered isolation,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-023,no-backfeed fixture result,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PCBA-FAI-024,qualified receiving disposition,,SELECTION REQUIRED,,NOT EXECUTED - NO ARTICLE,,,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
