source_id,publisher,document,revision_or_date,official_url,verified_scope,execution_state,authority,warning
HH-S01,Raspberry Pi,Camera Module 3 product page,live page; accessed 2026-08-16,https://www.raspberrypi.com/products/camera-module-3/?variant=camera-module-3-wide,camera-side 15 x 1 mm FPC; Wide dimensions 25 x 24 x 12.4 mm; 120 degree diagonal FOV,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-S02,Raspberry Pi,Camera hardware documentation,live documentation; accessed 2026-08-16,https://www.raspberrypi.com/documentation/accessories/camera.html,all Raspberry Pi cameras use standard 15-pin connector; Pi 5 uses mini 22-pin connector and Standard-Mini cable,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-S03,Raspberry Pi,Camera Cable,live product page; accessed 2026-08-16,https://www.raspberrypi.com/products/camera-cable/?variant=camera-cable-std-mini-300,"shielded Standard-Mini family offered in 200, 300 and 500 mm lengths; exact order code not published on page",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-S04,Raspberry Pi,15 to 22 pin camera cables Rev 2 PCN,RP-009201-PC-1; Rev 2; updated 2025-10-06,https://pip-assets.raspberrypi.com/categories/1267-pcn/documents/RP-009201-PC-1-15%20to%2022%20pin%20camera%20cables%20Rev%202.pdf,current manufacturer change record for Standard-Mini camera cable construction,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-S05,Raspberry Pi,Raspberry Pi 5 product brief,RP-008348-DS-5; accessed 2026-08-16,https://pip-assets.raspberrypi.com/categories/892-raspberry-pi-5/documents/RP-008348-DS-5-raspberry-pi-5-product-brief.pdf,two four-lane MIPI camera/display transceivers; two cameras consume both shared MIPI ports,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-S06,Waveshare,4inch HDMI LCD (H),SKU 16340; live product page; accessed 2026-08-16,https://www.waveshare.com/product/4inch-hdmi-lcd-h.htm,"480 x 800 HDMI display, SPI resistive touch, 0.123 kg; package includes HDMI-to-micro-HDMI adapter",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-S07,Waveshare,4inch HDMI LCD (H) wiki,live wiki; accessed 2026-08-16,https://www.waveshare.com/wiki/4inch_HDMI_LCD_%28H%29,"26-pin interface: 5 V on 2/4, grounds 6/9/14/20/25, touch SPI on 19/21/22/23/26",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-S08,Seeed Studio,reSpeaker Flex XVF3800 Linear-4,SKU 100099135; live product page; accessed 2026-08-16,https://www.seeedstudio.com/reSpeaker-Flex-XVF3800-Linear-4-p-6738.html,current in-stock split four-microphone embodied-AI candidate,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-S09,Seeed Studio,reSpeaker Flex getting-started guide,official wiki updated 2026-03-26; accessed 2026-08-16,https://wiki.seeedstudio.com/respeaker_flex_introduction/,"USB UAC 2.0/DFU, locking PH2.0, 24-pin 0.5 mm FPC with included 200 mm cable, 12 V external input, 4-ohm speaker output",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-S10,Seeed Studio,Mono Enclosed Speaker 4R 5W,SKU 114993346; live product page; accessed 2026-08-16,https://www.seeedstudio.com/Mono-Enclosed-Speaker-4R-5W-p-5931.html,current 4-ohm 5-watt enclosed-speaker candidate; exact received dimensions/lead termination remain open,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
