link,assembly_group,allocated_mass_kg,neutral_com_x_m,neutral_com_y_m,neutral_com_z_m,local_ixx_kg_m2,local_iyy_kg_m2,local_izz_kg_m2,status
base_link,pelvis/power,1.647263,-0.000853,0.006730,0.390736,0.002186056,0.003970591,0.004811382,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
torso,torso/compute/waist,0.987371,-0.000527,0.007026,0.518925,0.002725557,0.004700300,0.003965942,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
neck_pan_link,neck,0.121151,-0.001315,-0.000001,0.627257,0.000063402,0.000063402,0.000058879,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
head,head/display/sensing,0.418231,-0.001989,-0.012142,0.697920,0.000858907,0.001221374,0.001205900,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_shoulder_pitch_link,L arm,0.191441,0.090168,0.020509,0.585022,0.000136370,0.000079193,0.000108228,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_upper_arm,L arm,0.303473,0.100907,0.000106,0.530688,0.000637395,0.000637395,0.000136765,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_forearm,L arm,0.195138,0.108605,0.000000,0.415268,0.000382552,0.000382552,0.000081308,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_hand,L hand,0.172070,0.132470,-0.001402,0.277019,0.000084085,0.000071696,0.000084085,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_gripper,L hand,0.040804,0.137237,-0.004392,0.267821,0.000015030,0.000013778,0.000014417,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_hip_yaw_link,L leg,0.249282,0.052553,0.000000,0.371962,0.000135028,0.000108022,0.000176574,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_hip_roll_link,L leg,0.343564,0.062500,0.000327,0.356705,0.000186097,0.000148878,0.000243358,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_thigh,L leg,0.675468,0.062667,0.001266,0.315784,0.001766124,0.001749237,0.000633364,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_shin,L leg,0.509954,0.062721,0.000000,0.184348,0.001113783,0.001089985,0.000416803,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_ankle_pitch_link,L leg,0.258987,0.062624,0.000000,0.069886,0.000146759,0.000152371,0.000182413,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_foot,L foot,0.436839,0.062500,0.005559,0.034529,0.000809973,0.000339460,0.001060245,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
R_shoulder_pitch_link,R arm,0.191441,-0.089832,0.020509,0.585022,0.000136370,0.000079193,0.000108228,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
R_upper_arm,R arm,0.303473,-0.099328,0.000106,0.530688,0.000637395,0.000637395,0.000136765,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
R_forearm,R arm,0.195138,-0.102008,0.000000,0.415268,0.000382552,0.000382552,0.000081308,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
R_hand,R hand,0.172070,-0.134321,-0.001402,0.277019,0.000084085,0.000071696,0.000084085,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
R_gripper,R hand,0.040804,-0.137241,-0.004392,0.267821,0.000015030,0.000013778,0.000014417,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
R_hip_yaw_link,R leg,0.249282,-0.072447,0.000000,0.371962,0.000135028,0.000108022,0.000176574,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
R_hip_roll_link,R leg,0.343564,-0.062500,0.000327,0.356705,0.000186097,0.000148878,0.000243358,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
R_thigh,R leg,0.675468,-0.062333,0.001266,0.315784,0.001766124,0.001749237,0.000633364,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
R_shin,R leg,0.509954,-0.062279,0.000000,0.184348,0.001113783,0.001089985,0.000416803,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
R_ankle_pitch_link,R leg,0.258987,-0.062376,0.000000,0.069886,0.000146759,0.000152371,0.000182413,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
R_foot,R foot,0.436839,-0.062500,0.005559,0.034529,0.000809973,0.000339460,0.001060245,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
TOTAL,whole robot,9.928058,-0.000589,0.002701,0.348587,0.310237637,0.353329922,0.057179285,P0.1 RECONCILED PLANNING MODEL - NOT AS-BUILT CAD/SCALE/IDENTIFICATION
