net,p115_connection_count,p118_connection_count,delta_state,added_connections,removed_connections,original_membership_preserved,warning
ACT_0V_PE_BONDED,24,24,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACT_12V_BUS,4,4,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACT_12V_FUSED,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACT_12V_RAW,7,7,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ARM_AFTER_S2,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CABLE_SHIELD_TERM,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
COMPUTE_0V,5,5,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
COMPUTE_5V,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DXL_TTL_DATA,8,8,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EDM_K1_OUT,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FACTORY_AC_COMPUTE,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FACTORY_AC_L_ACT,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FACTORY_AC_L_CTL,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FACTORY_AC_N_ACT,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FACTORY_AC_N_CTL,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FB_IN1,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FB_IN2,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FB_SENSE1,4,4,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FB_SENSE2,4,4,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HB_LED_A,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_NOT_CONNECTED_J24_2,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_NOT_CONNECTED_J24_4,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_NOT_CONNECTED_PSU2_YL4_2,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_NOT_CONNECTED_PSU2_YL4_4,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_NOT_CONNECTED_SP1_A,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_NOT_CONNECTED_SP1_B,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_KWD1_12,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_KWD1_24,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_KWD2_12,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_KWD2_24,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_SR1_33,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_SR1_34,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_SRA1_33,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_SRA1_34,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_U2D2_VDD,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UDRV1_10,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UDRV1_11,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UDRV1_12,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UDRV1_13,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UDRV1_14,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UDRV1_15,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UDRV2_10,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UDRV2_11,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
