selection_id,selection,state,closure_evidence,warning
SEL-01,"received 18P2721 identity, flatness, thickness, flange and installed rear clearance",SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-02,"received P0.3 board outline, thickness, hole size and hole-coordinate tolerances",SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-03,"received TNM3-6.5-10-1 dimensions, insert construction and lot identity",SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-04,"received 0120070000VR dimensions, material and lot identity",SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-05,"backplate hole diameter, tolerance, positional tolerance, burr and coating treatment",SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-06,"mounting torque, tightening method, locking/reuse policy and witness-mark rule",SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-07,"static pull, shear, creep, vibration and transport acceptance loads",SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-08,fire/temperature/creep suitability of nylon mounting parts for the installed enclosure,SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-09,complete populated-board maximum height and conductive-part clearance,SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-10,"exact JST contact, conductor, insulation OD, crimp, bend radius and service sweep",SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-11,"cover depth, closure clearance, ventilation and local temperature evidence",SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-12,touch/contamination protection and service-access method,SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-13,"qualified mechanical, electrical, enclosure-system and coating/bonding review",SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
SEL-14,recomputed harness route geometry after R162 placement candidate,SELECTION REQUIRED,"recorded received measurement or approved calculation/test with configuration, instrument and signoff","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
