item,manufacturer,order_code,quantity,basis,state,procurement_released,warning
passive calibration breakout PCB,SELECTION REQUIRED,SELECTION REQUIRED,1,104 x 76 x 1.6 mm two-layer native KiCad design,FABRICATOR/STACKUP/FINISH/DFM OPEN,NO,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
2-position 5.08 mm horizontal PCB header,Phoenix Contact,1757242,2,JPS and JDUT,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
2-position 5.08 mm screw plug,Phoenix Contact,1757019,7,"source pair, normal, reverse, HI-open, LO-open and controlled short adapter",EXACT CONNECTOR; CABLE TERMINATIONS DEFINED IN SEPARATE CABLE-KIT PACKAGE,NO,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
"right-angle PCB 4 mm safety jack, red",Pomona Electronics,73099-2,1,JHI direct DMM monitor,EXACT CANDIDATE; MANUFACTURER DRAWING D2134437 REV.101; RECEIVED FAI OPEN,NO,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
"right-angle PCB 4 mm safety jack, black",Pomona Electronics,73099-0,1,JLO direct DMM monitor,EXACT CANDIDATE; MANUFACTURER DRAWING D2134437 REV.101; RECEIVED FAI OPEN,NO,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
61 cm red/black 4 mm patch-cord pair,Fluke,TL930 / part 1616671,1,fixture JHI/JLO to 87V MAX V/ohm and COM inputs,"EXACT CANDIDATE; 30 V RMS/60 V DC, 8 A; RECEIPT/LEAD INSPECTION OPEN",NO,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
flanged-lid ABS enclosure 121 x 94 x 34 mm,Hammond Manufacturing,1591GFLBK,1,fixture housing candidate,EXACT ENVELOPE CANDIDATE; PCB SUPPORT/CUTOUT/FAI OPEN,NO,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
triple-output programmable DC supply,Keysight,E36313A,1,output 2 or 3; 0-25 V / 0-2 A; low-current range available,BORROW CANDIDATE; RECEIPT/CALIBRATION/ISOLATION CHECK OPEN,NO,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
traceably calibrated DMM,Fluke,5206068 (87V MAX CAL),1,independent source-voltage reference,EXACT CANDIDATE; CERTIFICATE/DUE DATE/LEAD INSPECTION OPEN,NO,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
source and fault-injection cable set,PROJECT ASSEMBLY,HR30-MCF-CK-P0.1,1,"normal, reverse, HI-open, LO-open, short and source leads; keyed labels required",DEFINED IN SEPARATE CABLE-KIT PACKAGE; UNBUILT,NO,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
