hold_id,hold,state,execution,release_effect,warning
R275-H01,"Current supplier quote, exact 2300327 identity, lot and CoC accepted",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R275-H02,"Incoming thickness, coupon geometry and captive retention pass inspection",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R275-H03,Exact contact point/normal and work path through tolerance are accepted,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R275-H04,As-built inertia including reflected rotor is measured and accepted,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R275-H05,Maximum approach/fault speed and current/torque decay are measured,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R275-H06,"Dynamic force-stroke, hysteresis, bottom-out and rebound are characterized",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R275-H07,"Temperature, aging, contamination, compression-set and life limits are qualified",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R275-H08,Single-rail and twin-rail tests correlate with accepted nonlinear model,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R275-H09,Metal backup C06/C07 and full joined load path are accepted independently,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R275-H10,Guard/overtravel/pinch envelope includes pad tolerance and failure,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R275-H11,Qualified release confirms pad has zero sole structural-stop and safety credit,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R275-H12,"Separate procurement, assembly and powered-work authorities are signed",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
