j2_internal_deg,broadphase_pairs_requiring_boolean,colliding_pairs,sampled_pairwise_intersection_mm3,result,scope
15.0,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
15.5,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
16.0,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
16.5,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
17.0,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
17.5,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
18.0,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
18.5,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
19.0,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
19.5,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
20.0,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
20.5,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
21.0,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
21.5,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
22.0,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
22.5,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
23.0,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
23.5,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
24.0,0,,0.000000,PASS,"0.5-deg dense self-collision screen; intentional J2 frame/body interfaces excluded; provisional soft limit 120 deg; cables, tools, guards, stops and between-sample proof excluded"
