sheet,reference,value,quantity,status,datasheet,evidence
01_power_and_absence_boundary.kicad_sch,PSFIX,ISOLATED CURRENT-LIMITED 24 V SOURCE - SELECTION REQUIRED,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
01_power_and_absence_boundary.kicad_sch,EDISC,MANUAL EMERGENCY ISOLATION - SELECTION REQUIRED,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
01_power_and_absence_boundary.kicad_sch,F24,P1.21 F24 - SELECTION REQUIRED,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
01_power_and_absence_boundary.kicad_sch,XD24,P1.21 CONTROL +24 V DISTRIBUTION,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
01_power_and_absence_boundary.kicad_sch,XD0,P1.21 CONTROL 0 V DISTRIBUTION,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
01_power_and_absence_boundary.kicad_sch,ABSENT,PHYSICAL ABSENCE INTERLOCK,1,MANDATORY ABSENCE / NOT EXECUTED,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
02_estop_and_eligibility_chain.kicad_sch,SR1,P1.21 SR1 SAFETY RELAY,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
02_estop_and_eligibility_chain.kicad_sch,S0,P1.21 DUAL-CHANNEL E-STOP,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
02_estop_and_eligibility_chain.kicad_sch,S1,P1.21 SR1 RESET,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
02_estop_and_eligibility_chain.kicad_sch,SRA1,P1.21 PNOZ S4 750104 CANDIDATE,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
02_estop_and_eligibility_chain.kicad_sch,S2,P1.21 ARM PUSHBUTTON,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
02_estop_and_eligibility_chain.kicad_sch,EDMSIM,CONFIGURATION-CONTROLLED DRY-CONTACT EDM SIMULATOR,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
03_watchdog_gate_and_stimulus.kicad_sch,KWD1,P1.21 PHOENIX 2967060 CANDIDATE,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
03_watchdog_gate_and_stimulus.kicad_sch,KWD2,P1.21 PHOENIX 2967060 CANDIDATE,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
03_watchdog_gate_and_stimulus.kicad_sch,JWP1,P1.21 WATCHDOG PCB POWER/COIL INTERFACE,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
03_watchdog_gate_and_stimulus.kicad_sch,JWF1,P1.21 WATCHDOG FEEDBACK INTERFACE,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
03_watchdog_gate_and_stimulus.kicad_sch,JWH1,P1.21 HEARTBEAT INTERFACE,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
03_watchdog_gate_and_stimulus.kicad_sch,HBSRC,ISOLATED PATTERN SOURCE / LOGGER - SELECTION REQUIRED,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
04_isolated_measurement_fanout.kicad_sch,DAQV,ISOLATED VOLTAGE/CURRENT ACQUISITION,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
04_isolated_measurement_fanout.kicad_sch,DAQC,ISOLATED LOW-ENERGY CONTACT ACQUISITION,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
04_isolated_measurement_fanout.kicad_sch,DAQS,ISOLATED STIMULUS/STATE LOGGER,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
04_isolated_measurement_fanout.kicad_sch,STOPLOG,FAIL-CLOSED EVENT RECORD,1,FIXTURE CANDIDATE / VALIDATION OPEN,CONTROLLED SOURCE BINDING IN source-register.csv,P1.21 terminal identity or fixture-only boundary as stated
