source_id,organization,record,revision_date,locator,use,warning
WD-DATA-SRC-001,Project Button,PCB-P0.7 native board,KiCad 10.0.5; checked 2026-08-09,electrical/kicad/project-button-v3/project-button-v3.kicad_pcb,"geometry, membership, placement and rotation",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-DATA-SRC-002,Project Button,R132 placement/process register,R132; 2026-08-09,electrical/manufacturing/hr-v0-watchdog-pcba-rfi-p0.1/placement-process-register.csv,process and hold state,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-DATA-SRC-003,Project Button,R89 land-pattern audit,R89; rechecked 2026-08-09,release/hr-v0/watchdog-pcb-land-pattern-audit-p0.1/land-pattern-audit.csv,part/footprint/orientation basis,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-DATA-SRC-004,Texas Instruments,TPL7407L / ISO1212 datasheets and package drawings,SLRS066D 2016-03; SLLSEY7G 2025-02; rechecked 2026-08-09,https://www.ti.com/lit/ds/symlink/tpl7407l.pdf ; https://www.ti.com/lit/ds/symlink/iso1212.pdf,UDRV1/2 and UFB1 identity/orientation,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-DATA-SRC-005,Vishay,VO618A / MMA0204 / CRCW records,2025-01-22; 2022-07-12; 2026-04-14; rechecked 2026-08-09,https://www.vishay.com/docs/83432/vo618a.pdf ; https://www.vishay.com/doc/?28950= ; https://www.vishay.com/docs/20035/dcrcwe3.pdf,ISO1 and resistor identities,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-DATA-SRC-006,Murata / TDK / Panasonic,current passive records,2025-01-09; 2026-06; 2025-12-24; rechecked 2026-08-09,electrical/manufacturing/hr-v0-watchdog-pcba-rfi-p0.1/source-register.csv,capacitor and resistor identities,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-DATA-SRC-007,Harwin,S1751-46R technical drawing,DRG 02202 issue 10; 2023-02-15; rechecked 2026-08-09,https://content.harwin.com/asset/e4e6a5e1-de35-4a2b-8b49-ff06562cba9d/DRG-02202-Technical-Drawing-Datasheet-S1751R-pdf.pdf,TP1-TP16 identity and land,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-DATA-SRC-008,Raspberry Pi,Pico 1 product/datasheet,datasheet release 2026-07-03; rechecked 2026-08-09,https://www.raspberrypi.com/products/raspberry-pi-pico/,SC0915 module identity,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-DATA-SRC-009,TRACO POWER,TSR 1 series datasheet,2024-02-07; rechecked 2026-08-09,https://www.tracopower.com/tsr1-datasheet,TSR 1-2450 identity/orientation,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-DATA-SRC-010,Phoenix Contact,MKDS 1/2 and 1/4 product records,accessed 2026-08-08; rechecked 2026-08-09,https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mkds-1-2-35-1751248 ; https://www.phoenixcontact.com/gb/products/1751264/pdf,terminal-block identities/orientation,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
