role,path,sha256,state,warning
generator,tools/generate_hr30_harness_duty_current_envelope_p01.py,8fa773c6cf617e87097159fca48f102be50678e182821ed9e4ddb9dd944f1faa,BOUND,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
control successor generator,tools/generate_hr30_control_successor_p01.py,3ed838ce6248a4f48340074e872b6b24531851208006f2d30f5a014df3eeaff7,BOUND,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
simulation implementation,tools/generate_hr30_dynamics_successor_p01.py,84ec5107d23cf0e9efa468d97f77c5b3f70eca0db76bc8c7e8e275d39a655e14,BOUND,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
lightweight whole-body control model,hr30/whole-body-p0.1/lightweight-hip-successor-p0.1/hr30_tether_light4_control_candidate.xml,b565c66ca3f597132800c4e5b687be1e7a51e66360d5151dcfa860904f4e16b7,BOUND,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
control successor status,hr30/whole-body-p0.1/control-successor-p0.1/control-successor-status.json,280dacd4177f923ede82481220bd480d3bcab642a1dc08d60b9fc8cc16b18e7c,BOUND,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
axis current endpoints,hr30/whole-body-p0.1/current-constrained-actuation-p0.1/axis-current-torque-register.csv,40bf30c040472137887948a9167cdf4ba7c64412a0aef530d3bba918e234e355,BOUND,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
bus current budgets,hr30/whole-body-p0.1/current-constrained-actuation-p0.1/bus-current-budget.csv,f82259c856959120188d74f8f69d6cc82882c85dfe55f91b9f86759ba8226a11,BOUND,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
bus axis binding,hr30/whole-body-p0.1/actuator-bus-axis-binding.csv,7d44e70ba8153b414748650523f6eca9c07bf5760a0ec9b09f8ac4051d08962f,BOUND,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
gripper force geometry,hr30/whole-body-p0.1/grippers-p0.1/gripper-force-screen.csv,dac73544405194666b3346f27eb6b4dbb4f1d52e480f03abd8751303322aa7b1,BOUND,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
gripper mesh geometry,hr30/whole-body-p0.1/grippers-p0.1/gripper-mesh-state-register.csv,4046ecb9d8a293c04a3489f8aad3a1fb25cc432e85cf0cbfd60e2c1065650ceb,BOUND,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
