screen_id,quantity,inputs,result_mm,disposition,warning
STK-01,PCB-side nominal thread engagement,6.0 screw - 1.6 PCB,4.4,SCREEN PASS; TOLERANCES/REPLACEMENT IDENTITY OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STK-02,PCB-side bottom-out reserve,6.0 thread depth - 4.4 engagement,1.6,SCREEN PASS; RECEIVED TOLERANCES OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STK-03,panel-side nominal thread engagement,6.0 screw - 2.54 panel,3.46,SCREEN PASS; COATING/TOLERANCES OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STK-04,panel-side bottom-out reserve,6.0 thread depth - 3.46 engagement,2.54,SCREEN PASS; RECEIVED TOLERANCES OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STK-05,PCB top above panel face,10.0 standoff + 1.6 PCB,11.6,SCREEN ONLY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STK-06,mounting screw top above panel face,10.0 + 1.6 + 1.8,13.4,EXCLUDES COMPONENTS/CONNECTORS,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STK-07,catalog connector top above panel face candidate,10.0 standoff + 16.5 catalog mounting height,26.5,CATALOG SCREEN ONLY; MATING/WIRE SWEEP AND DIMENSION DATUM MUST BE VERIFIED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STK-08,nominal rear flange screen,19.05 flange - 1.8 screw head,17.25,NOT INSTALLED REAR CLEARANCE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STK-09,standoff body board-edge margin,5.0 - 3.25,1.75,SCREEN PASS; TOLERANCES/LOAD OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
STK-10,screw head board-edge margin,5.0 - 2.95,2.05,SCREEN PASS; RECEIVED REPLACEMENT GEOMETRY OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
