hold_id,topic,current_evidence,evidence_required,owner_role,state,authorization,warning
XT1-H-001,received identity,Exact catalog candidates only,"received item numbers colors quantity damage and lot evidence",Receiving inspector,OPEN,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
XT1-H-002,conductors,No wire gauge color insulation or source released,"fault/load current cable length ambient bundling voltage-drop and jurisdiction inputs plus exact wire MPN",Qualified electrical reviewer,SELECTION REQUIRED,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
XT1-H-003,termination method,Manufacturer connection ranges recorded only,"direct-wire versus ferrule decision exact ferrule/tool/die process strip length and pull evidence",Qualified electrical reviewer,SELECTION REQUIRED,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
XT1-H-004,ratings coordination,Manufacturer component nominal data recorded,"project current voltage temperature protection terminal and upstream/downstream connector coordination",Qualified electrical reviewer,OPEN,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
XT1-H-005,grounding boundary,XT1-02 maps SAFETY_0V only,"accepted grounding/bonding implementation proving no inferred DC 0 V/PE bond",Qualified electrical reviewer,OPEN,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
XT1-H-006,status interfaces,Exact signal nets identified,"received voltage current leakage loading isolation and compute-interface proof for four status circuits",Electrical/controls reviewer,OPEN,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
XT1-H-007,markers,Unmarked 0828734 stock is only a catalog candidate,"exact position/net text printer ribbon process durability and inspection",Configuration plus electrical,SELECTION REQUIRED,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
XT1-H-008,end cover and restraint,Exact catalog candidates and nominal panel allocation only,"received fit correct open-side/end orientation finger-safe condition end-bracket retention and service access",Mechanical/electrical inspector,OPEN,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
XT1-H-009,no-jumper inspection,NO BRIDGE rule frozen,"point-by-point visual evidence that all six positions contain no bridge or jumper",Electrical inspector,OPEN,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
XT1-H-010,point-to-point inspection,Position/net mapping frozen,"wire-number endpoint continuity polarity isolation and label evidence on exact installed configuration",Electrical inspector,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
XT1-H-011,qualified review,No application acceptance,"signed electrical/configuration review of exact received and installed group",Qualified electrical reviewer,OPEN,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
XT1-H-012,work authority,No purchase assembly wiring or energization authority,"separate approved acquisition receiving assembly wiring and E2 work records in the controlled sequence",Configuration authority,OPEN,NOT AUTHORIZED,PRELIMINARY - NOT APPROVED FOR WIRING OR ENERGIZATION
