pod_id,channel_id,reference,lead,series_ordinal,manufacturer,order_code,resistance_ohm,tolerance_percent,tcr_ppm_per_k,operating_voltage_rating_v,rated_dissipation_p70_w,planning_24v_max_dissipation_each_w,state,warning
DP-01,CH-AI-01,RHA,HI,1,Vishay,TNPW1206100KBEEA,100000,0.1,25,200,0.52,0.000028550,EXACT CANDIDATE; RECEIVED LOT/ASSEMBLY OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-01,CH-AI-01,RHB,HI,2,Vishay,TNPW1206100KBEEA,100000,0.1,25,200,0.52,0.000028550,EXACT CANDIDATE; RECEIVED LOT/ASSEMBLY OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-01,CH-AI-01,RLA,LO,1,Vishay,TNPW1206100KBEEA,100000,0.1,25,200,0.52,0.000028550,EXACT CANDIDATE; RECEIVED LOT/ASSEMBLY OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-01,CH-AI-01,RLB,LO,2,Vishay,TNPW1206100KBEEA,100000,0.1,25,200,0.52,0.000028550,EXACT CANDIDATE; RECEIVED LOT/ASSEMBLY OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-02,CH-AI-02,RHA,HI,1,Vishay,TNPW1206100KBEEA,100000,0.1,25,200,0.52,0.000028550,EXACT CANDIDATE; RECEIVED LOT/ASSEMBLY OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-02,CH-AI-02,RHB,HI,2,Vishay,TNPW1206100KBEEA,100000,0.1,25,200,0.52,0.000028550,EXACT CANDIDATE; RECEIVED LOT/ASSEMBLY OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-02,CH-AI-02,RLA,LO,1,Vishay,TNPW1206100KBEEA,100000,0.1,25,200,0.52,0.000028550,EXACT CANDIDATE; RECEIVED LOT/ASSEMBLY OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-02,CH-AI-02,RLB,LO,2,Vishay,TNPW1206100KBEEA,100000,0.1,25,200,0.52,0.000028550,EXACT CANDIDATE; RECEIVED LOT/ASSEMBLY OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-03,CH-AI-03,RHA,HI,1,Vishay,TNPW1206100KBEEA,100000,0.1,25,200,0.52,0.000028550,EXACT CANDIDATE; RECEIVED LOT/ASSEMBLY OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-03,CH-AI-03,RHB,HI,2,Vishay,TNPW1206100KBEEA,100000,0.1,25,200,0.52,0.000028550,EXACT CANDIDATE; RECEIVED LOT/ASSEMBLY OPEN,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
