failure_kind,quadrature_order,element_tag,quadrature_point_index,physical_x_mm,physical_y_mm,physical_z_mm,determinant,normalized_determinant,credit,warning,nearest_exact_face_tag_diagnostic_only,nearest_exact_face_signature_sha256,nearest_exact_face_type,nearest_exact_face_bbox_mm_json,nearest_exact_face_distance_mm,nearest_exact_point_mm_json
CURVED_TET10_ACTUAL_QUADRATURE,4,299070,4,-33.95461526535857,8.328372145623266,-8.39021497663119,-0.2973750970573923,-0.0097146682402939,DIAGNOSTIC LOCALIZATION; FULL-DOMAIN POSITIVITY UNVERIFIED,"PRELIMINARY - CONFORMAL MESH FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",124,a97edf5a94868d8091b2c9b62604036a8be258e42d13a3b82c0fbcb9a27ea4b0,Cylinder,"[-34.0000001,-1e-07,-10.0000001,-31.9999999,8.5250001,-7.9999999]",0.006814468354731625,"[-33.96129786648124,8.328372145623266,-8.39154907602514]"
CURVED_TET10_ACTUAL_QUADRATURE,4,438915,4,-13.773279499267948,-14.184592182332363,-9.316808242133447,-0.7402880726906942,-0.020605542309698265,DIAGNOSTIC LOCALIZATION; FULL-DOMAIN POSITIVITY UNVERIFIED,"PRELIMINARY - CONFORMAL MESH FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",110,251c223a0dbe278abebbeffb1d1a2c4b7e0facaf46cc1c30842899924ba87176,Cylinder,"[-18.6000001,-15.8750001,-10.6000001,-13.3999999,1e-07,-5.3999999]",0.013058150067732383,"[-13.762039644588487,-14.184592182332363,-9.323455117337332]"
CURVED_TET10_ACTUAL_QUADRATURE,6,299070,5,-33.9783806998206,8.413033135260562,-8.223952461725853,-0.5638955829230383,-0.018204043212250907,DIAGNOSTIC LOCALIZATION; FULL-DOMAIN POSITIVITY UNVERIFIED,"PRELIMINARY - CONFORMAL MESH FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",124,a97edf5a94868d8091b2c9b62604036a8be258e42d13a3b82c0fbcb9a27ea4b0,Cylinder,"[-34.0000001,-1e-07,-10.0000001,-31.9999999,8.5250001,-7.9999999]",0.00898395321993638,"[-33.98730763925293,8.413033135260562,-8.224962990216012]"
CURVED_TET10_ACTUAL_QUADRATURE,6,438915,5,-13.873284243036244,-14.103501763011467,-9.474340418816237,-1.1368913733362676,-0.03136805517770322,DIAGNOSTIC LOCALIZATION; FULL-DOMAIN POSITIVITY UNVERIFIED,"PRELIMINARY - CONFORMAL MESH FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",110,251c223a0dbe278abebbeffb1d1a2c4b7e0facaf46cc1c30842899924ba87176,Cylinder,"[-18.6000001,-15.8750001,-10.6000001,-13.3999999,1e-07,-5.3999999]",0.012221110397343695,"[-13.86324056111502,-14.103501763011467,-9.481303176374084]"
CURVED_TET10_ACTUAL_QUADRATURE,6,438915,22,-13.539699279663866,-14.32114792375484,-8.896029196475975,-0.011983150464386055,-0.0003328768857463344,DIAGNOSTIC LOCALIZATION; FULL-DOMAIN POSITIVITY UNVERIFIED,"PRELIMINARY - CONFORMAL MESH FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",110,251c223a0dbe278abebbeffb1d1a2c4b7e0facaf46cc1c30842899924ba87176,Cylinder,"[-18.6000001,-15.8750001,-10.6000001,-13.3999999,1e-07,-5.3999999]",0.018386517576020285,"[-13.556975706246842,-14.32114792375484,-8.889737208467695]"
CURVED_TET10_ACTUAL_QUADRATURE,6,438915,23,-13.664640984286251,-14.551153823999538,-9.141459033867521,-0.05612991851846691,-0.001564194348408833,DIAGNOSTIC LOCALIZATION; FULL-DOMAIN POSITIVITY UNVERIFIED,"PRELIMINARY - CONFORMAL MESH FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",110,251c223a0dbe278abebbeffb1d1a2c4b7e0facaf46cc1c30842899924ba87176,Cylinder,"[-18.6000001,-15.8750001,-10.6000001,-13.3999999,1e-07,-5.3999999]",0.0006095987187188037,"[-13.664093305160012,-14.551153823999538,-9.141726724309162]"
CURVED_TET10_ACTUAL_QUADRATURE,6,476933,6,15.642534504266479,-10.41494238429827,10.56906141471193,-0.8320640147331592,-0.008649049457808486,DIAGNOSTIC LOCALIZATION; FULL-DOMAIN POSITIVITY UNVERIFIED,"PRELIMINARY - CONFORMAL MESH FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",114,b526fc31837e1eed87abf547e967381f66294d934649748339e042b4bbf9d6fe,Cylinder,"[13.3999999,-15.8750001,5.3999999,18.6000001,1e-07,10.6000001]",0.006188493124128073,"[15.641681638606581,-10.41494238429827,10.575190857371222]"
CURVED_TET10_ACTUAL_QUADRATURE,6,527253,6,-15.639297928616616,-10.403709135494957,10.56887971292311,-0.7867630585904708,-0.007676466731188326,DIAGNOSTIC LOCALIZATION; FULL-DOMAIN POSITIVITY UNVERIFIED,"PRELIMINARY - CONFORMAL MESH FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",113,9f9705cbb2c0c6752624d37d98f10ed2a799c76c148c83a7ce4b089e5a9aae4a,Cylinder,"[-18.6000001,-15.8750001,5.3999999,-13.3999999,1e-07,10.6000001]",0.005920401420152333,"[-15.638474707518528,-10.403709135494957,10.574742601289726]"
CURVED_TET10_ACTUAL_QUADRATURE,6,559102,7,-13.874752277350574,-14.105974730483942,6.5073096143692055,-0.13685373962970349,-0.003428720716862979,DIAGNOSTIC LOCALIZATION; FULL-DOMAIN POSITIVITY UNVERIFIED,"PRELIMINARY - CONFORMAL MESH FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",113,9f9705cbb2c0c6752624d37d98f10ed2a799c76c148c83a7ce4b089e5a9aae4a,Cylinder,"[-18.6000001,-15.8750001,5.3999999,-13.3999999,1e-07,10.6000001]",0.002924246391495449,"[-13.872359298256546,-14.105974730483942,6.505628880001817]"
CURVED_TET10_ACTUAL_QUADRATURE,8,299070,8,-33.94487267793557,8.298986066313878,-8.44730638837011,-0.2048647707127977,-0.006714544716658087,DIAGNOSTIC LOCALIZATION; FULL-DOMAIN POSITIVITY UNVERIFIED,"PRELIMINARY - CONFORMAL MESH FAILURE LOCALIZATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION",124,a97edf5a94868d8091b2c9b62604036a8be258e42d13a3b82c0fbcb9a27ea4b0,Cylinder,"[-34.0000001,-1e-07,-10.0000001,-31.9999999,8.5250001,-7.9999999]",0.0043515493812549605,"[-33.94911350977931,8.298986066313878,-8.448281748452663]"
