input_id,subject,candidate_value,state,warning
WD-MFG-IN-001,native board identity,PCB-P1.0 / Electrical V3-P1.15-CARRIER-CANDIDATE (DIRECT NATIVE BINDING),SOURCE BOUND,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-002,board outline,160.0000 mm x 100.0000 mm,SOURCE BOUND,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-003,native thickness setting,1.6000 mm,REVIEW INPUT - SUPPLIER TOLERANCE REQUIRED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-004,minimum routed track width,0.1524 mm,SOURCE BOUND - CAPABILITY ACCEPTANCE REQUIRED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-005,minimum routed clearance,0.1584 mm,SOURCE BOUND - CAPABILITY ACCEPTANCE REQUIRED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-006,minimum drill diameter,0.3000 mm,SOURCE BOUND - CAPABILITY ACCEPTANCE REQUIRED,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-007,layer count,2 copper layers,SOURCE BOUND,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-008,base material and Tg,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-009,copper foil and finished copper,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-010,surface finish,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-011,solder mask system and color,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-012,legend system and color,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-013,finished holes and plating tolerances,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-014,outline/profile tolerance,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-015,"panelization, rails, tooling and fiducials",SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-016,bare-board electrical test and coupon,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-017,controlled impedance requirement/disposition,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
WD-MFG-IN-018,fabricator and assembly provider,SELECTION REQUIRED,OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
