source_id,organization,subject,url,revision_date,accessed_date,verified_fact
FBC-S01,ROBOTIS,U2D2 product / price,https://www.robotis.us/u2d2/,live product page; revision not stated,2026-08-17,SKU 902-0132-000; USD 36.92; USB-C upgrade statement; U2D2 does not power actuators
FBC-S02,ROBOTIS,U2D2 current technical documentation,https://docs.robotis.com/docs/parts/interface/u2d2/,ROBOTIS Docs current page; revision not shown,2026-08-17,communication interface only; external actuator power required; current connector/pin documentation
FBC-S03,ROBOTIS,U2D2 Power Hub product / price,https://robotis.us/u2d2-power-hub-board-set/,live product page; revision not stated,2026-08-17,SKU 902-0145-001; USD 21.85; 3.5-24 V; 10 A maximum; X3P/X4P 100 mm cables included
FBC-S04,ROBOTIS,U2D2 Power Hub technical documentation,https://docs.robotis.com/docs/parts/interface/u2d2_power_hub/,ROBOTIS Docs current page; revision not shown,2026-08-17,10 A aggregate maximum and only one power input at a time
FBC-S05,ROBOTIS,X3P 180 mm cable pack,https://www.robotis.us/robot-cable-x3p-180mm-10pcs/,live product page; revision not stated,2026-08-17,SKU 903-0249-000; ten TTL cables; USD 21.85
FBC-S06,ROBOTIS,X4P 180 mm cable pack,https://robotis.us/robot-cable-x4p-180mm-10pcs/,live product page; revision not stated,2026-08-17,SKU 903-0244-000; ten RS-485 cables; USD 23.23
FBC-S07,igus,CF130.03.02.UL,https://www.igus.com/product/CF130_UL,live product page; revision not stated,2026-08-17,2 x 22 AWG / 0.34 mm2 medium-duty chainflex evaluation candidate; free-sample route shown
FBC-S08,igus,CF9.UL.02.02,https://toolbox.igus.com/wp-content/uploads/2023/08/chainflex-control-cables-catalog.pdf,official chainflex control-cable catalog,2026-08-17,2 x 0.25 mm2 / 24 AWG data/flex coupon candidate
FBC-S09,JST,EH connector family,https://www.jst-mfg.com/product/index.php?lang=2&series=58,live manufacturer family page; revision not stated,2026-08-17,EHR-3/EHR-4 housings and EH contact family identifiers
FBC-S10,Molex,Micro-Fit 3.0 family,https://www.molex.com/en-us/products/connectors/wire-to-board-connectors/micro-fit-connectors,live manufacturer family page; revision not stated,2026-08-17,fixed transition connector family; exact received-part/tool/process validation remains required
FBC-S11,Boston Public Library,KBLIC 3D printing,https://www.bpl.org/about-the-bpl/official-policies/kirstein-business-library-innovation-center-3d-printing-guidelines/,current policy page,2026-08-17,service currently says temporarily unavailable; do not submit yet
FBC-S12,Artisans Asylum,Boston-area maker facilities,https://www.artisansasylum.com/home,current official site,2026-08-17,"local digital fabrication, machine, metal, electronics and robotics capabilities; exact access/capability confirmation required"
