hold_id,hold,state,execution,closure_evidence,release_effect,warning
R274-H01,Current same-session supplier quote/cart confirms every exact order code and quantity,OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-H02,Manufacturer/lot identity and required certificates are received and accepted,OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-H03,Screw length and nut-height tolerances plus received measurements close thread projection,OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-H04,"S102 thickness, material, thread condition and structural allowables are accepted",OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-H05,"Nut proof, prevailing-torque distribution and mixed Class 12.9/Class 8 compatibility are accepted",OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-H06,Torque-preload trials define an accepted dry installation torque and clamp-force window,OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-H07,"Joined analysis closes slip, separation, prying, sheet flexibility, bearing and thread/head/nut/washer modes",OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-H08,"Straight blade, access well, socket engagement, seating and XM540 clearance pass physical FAI",OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-H09,"Single-use nut, witness-mark, calibration, corrosion, temperature and inspection controls are released",OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-H10,Unpowered single-rail and twin-rail proof tests pass qualified limits,OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-H11,Configuration-bound qualified mechanical acceptance is signed,OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-H12,"Separate procurement, assembly and any later powered-work authorities are signed",OPEN,NOT EXECUTED,see verification-plan.csv and controlled raw evidence,BLOCKS A04 SELECTION AND STRUCTURAL USE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
