reference,sheet,terminal_count,bom_parity,schedule_parity,native_net_parity,disposition,warning
CDEC1,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CDRV1,07_watchdog_control.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CDRV2,07_watchdog_control.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CFI1,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CFI2,08_watchdog_feedback_interface.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
DC1,07_watchdog_control.kicad_sch,3,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
F0,05_actuator_interruption.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
F24,01_external_sources.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
FSR1,04_contactor_edm.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
FSR2,04_contactor_edm.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
H1,02_estop_eligibility.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
ISO1,07_watchdog_control.kicad_sch,4,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
J24,01_external_sources.kicad_sch,4,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JA1,01_external_sources.kicad_sch,6,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
JFRAME1,10_actuator_interfaces.kicad_sch,2,EXACT,EXACT,EXACT,UNCHANGED IN P1.15,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
